Dam Name,Other Names,NID ID,Federal ID,Owner Names,Owner Types,Primary Owner Type,Number of Associated Structures,Is Associated Structure?,Designer Names,Primary Purpose,Purposes,Source Agency,State or Federal Agency ID,Latitude,Longitude,County,City,Distance to Nearest City (Miles),River or Stream Name,Congressional District,State Regulated Dam,State Jurisdictional Dam,State Regulatory Agency,State Permitting Authority,State Inspection Authority,State Enforcement Authority,Federally Regulated Dam,Built Under the Authority of the Secretary of Agriculture,NRCS Watershed Dam Authorization,Primary Dam Type,Dam Types,Core Types,Foundation,Dam Height (Ft),Hydraulic Height (Ft),Structural Height (Ft),NID Height (Ft),NID Height Category,Dam Length (Ft),Volume (Cubic Yards),Year Completed,Year Completed Category,NID Storage (Acre-Ft),Max Storage (Acre-Ft),Normal Storage (Acre-Ft),Surface Area (Acres),Drainage Area (Sq Miles),Max Discharge (Cubic Ft/Second),Spillway Type,Spillway Width (Ft),Outlet Gate Type,Data Last Updated,Inspection Frequency,EAP Prepared,EAP Last Revision Date,Website URL,Operational Status,Operational Status Date,Inundation Maps Added to NID?,Has Photo?,damid,LegacyNumb,DCR_Watershed_SqMi,SVI_TotalPop_InZone,SVI_Pop_POV150,SVI_Pop_AGE65,SVI_Pop_DISABL,SVI_Pop_NOVEH,DCR_EP_Status,Inspection_Date_Final,Condition_Final,Hazard_Final,In Fathom 100yr Flood Zone,In Fathom 500yr Flood Zone,D1_Hazard_Score,Needs_Hazard_Classification,D2_Flood_Score,D3_Watershed_Score,D4_Impact_Score,D5_DataQuality_Score,Triage_Score,Priority_Band
Brown Dam,,VA141027,VA141027,,Not Listed,Not Listed,0,No,,,,Virginia,141027,36.5527,-80.1337,Patrick,Stuart,9.9,White Mud Branch,"Virginia, Congressional District 09",Yes,Yes,Department of Conservation and Recreation,Yes,Yes,Yes,No,No,,Earth,Earth,,,50,,,50,51-100 feet,270,,,Undetermined,40,40,32,1.8,0.08,,,,,12/4/2022,,No,,https://damsafety.org/virginia,Not Applicable,3/8/2021,No,No,182,410,0.07521224,3389,602,947,586,118,<Null>,,Not Rated,Unknown,1,1,49.33,1,75,16.18,83.61,84.25,56.52,High
Seals North Dam,,VA033068,VA033068,,Not Listed,Not Listed,0,No,,,,Virginia,33068,38.0334,-77.2314,Caroline,Tappahannock,21.8,Mashbox Run,"Virginia, Congressional District 07",Yes,Yes,Department of Conservation and Recreation,Yes,Yes,Yes,No,No,,,,,,8,,,8,Less than 25 feet,350,,,Undetermined,138,138,,,0.37,,,,,12/4/2022,,No,,https://damsafety.org/virginia,Not Applicable,3/8/2021,No,No,2045,3368,0.371810704,1684,509,343,337,10,<Null>,,Not Rated,Unknown,1,1,43.88,1,75,47.03,71.99,84.25,60.55,High
Laneview Dam,073dd015,VA073012,VA073012,,Not Listed,Not Listed,0,No,,,,Virginia,73012,37.4806,-76.5416,Gloucester,Williamsburg,17.1,Beech Swamp,"Virginia, Congressional District 01",Yes,Yes,Department of Conservation and Recreation,Yes,Yes,Yes,No,No,,,,,,17,,,17,Less than 25 feet,270,,,Undetermined,121.92,121.92,50.6,11,0.38,,,,,12/4/2022,,No,,https://damsafety.org/virginia,Not Applicable,3/8/2021,No,No,3229,7312,0.37983948,5482,379,982,942,25,<Null>,,Not Rated,Unknown,1,1,46.45,1,75,47.46,81.66,84.25,63.23,High
Ashbrook  Dam,,VA041065,VA041065,,Not Listed,Not Listed,0,No,,Recreation,Recreation,Virginia,41065,37.3987,-77.6853,Chesterfield,Richmond,16.8,Dry Creek,"Virginia, Congressional District 01",Yes,Yes,Department of Conservation and Recreation,Yes,Yes,Yes,No,No,,,,,,19,,,19,Less than 25 feet,800,,,Undetermined,295,295,,,2.39,,,,,12/4/2022,,No,,https://damsafety.org/virginia,Not Applicable,3/8/2021,No,No,2141,4165,2.39098883,9901,502,603,1540,60,Development,,Not Rated,"High, Prelim",0,0,77.81,0,0,81.02,86.59,84.25,65.45,High
Seals South Dam,,VA033070,VA033070,,Not Listed,Not Listed,0,No,,,,Virginia,33070,38.0138,-77.2317,Caroline,Tappahannock,21.4,Maracossic Creek,"Virginia, Congressional District 07",Yes,Yes,Department of Conservation and Recreation,Yes,Yes,Yes,No,No,,,,,,18,,,18,Less than 25 feet,250,,,Undetermined,138,138,,,0.44,,,,,12/4/2022,,No,,https://damsafety.org/virginia,Not Applicable,3/8/2021,No,No,2047,3370,0.443049282,1684,509,343,337,10,<Null>,,Not Rated,Unknown,1,1,46.79,1,75,50.95,71.99,84.25,62.26,High
Upper Stonehorse Dam,,VA075039,VA075039,,Not Listed,Not Listed,0,No,,,,Virginia,75039,37.7611,-77.9749,Goochland,Louisa,18.1,Old Miss Branch,"Virginia, Congressional District 05",Yes,Yes,Department of Conservation and Recreation,Yes,Yes,Yes,No,No,,,,,,35,,,35,25-50 feet,,,,Undetermined,242,242,,,0.21,,,,,12/4/2022,,No,,https://damsafety.org/virginia,Not Applicable,3/8/2021,No,No,674,7539,0.209599972,5774,806,897,676,68,<Null>,,Not Rated,Unknown,1,1,49.89,1,75,33.95,85.23,84.25,61.43,High
Payne Pond,125dd036,VA125024,VA125024,,Not Listed,Not Listed,,No,,,,Virginia,125024,37.7416,-78.8694,Nelson,Buckingham,21.7,Town Creek,"Virginia, Congressional District 05",Yes,Yes,Department of Conservation and Recreation,Yes,Yes,Yes,No,No,,,,,,30,,,30,25-50 feet,,,,Undetermined,62.95,62.95,44.1,4.2,0.13,,,,,12/4/2022,,No,,https://damsafety.org/virginia,Not Applicable,1/5/2021,No,No,3339,12527,0.13325417,2484,379,489,381,42,<Null>,,Not Rated,Unknown,1,1,47.87,1,75,25.18,76.76,84.25,57.04,High
Seals Middle Dam,,VA033069,VA033069,,Not Listed,Not Listed,0,No,,,,Virginia,33069,38.0207,-77.2297,Caroline,Tappahannock,21.4,Mashbox Run,"Virginia, Congressional District 07",Yes,Yes,Department of Conservation and Recreation,Yes,Yes,Yes,No,No,,,,,,18,,,18,Less than 25 feet,350,,,Undetermined,207,207,,,,,,,,12/4/2022,,No,,https://damsafety.org/virginia,Not Applicable,3/8/2021,No,No,2046,3369,,1684,509,343,337,10,<Null>,,Not Rated,Unknown,1,1,47.23,1,75,50,71.99,84.25,62.13,High
Burnely Pond Dam,,VA019040,VA019040,,Not Listed,Not Listed,0,No,,,,Virginia,19040,37.4122,-79.3651,Bedford,Lynchburg,12.2,Elk Creek,"Virginia, Congressional District 09",Yes,Yes,Department of Conservation and Recreation,Yes,Yes,Yes,No,No,,,,,,26,,,26,25-50 feet,,,,Undetermined,21,21,13.2,1.5,0.03,,,,,12/4/2022,,Not Required,,https://damsafety.org/virginia,Not Applicable,3/8/2021,No,No,222,1940,,3997,354,879,479,35,<Null>,,Not Rated,Unknown,0,0,46.18,1,0,2.02,79.51,68.25,34.78,Moderate
Manassas Dam #1,683dd002,VA683002,VA683002,,Not Listed,Not Listed,0,No,,,,Virginia,683002,38.7399,-77.5155,Manassas,Manassas,2.3,Cannon Branch,"Virginia, Congressional District 10",No,No,,No,No,No,No,No,,,,,,10,,,10,Less than 25 feet,,,,Undetermined,64.5,64.5,,16.1,3.76,,,,,12/4/2022,,Not Required,,https://damsafety.org/virginia,Not Applicable,1/5/2021,No,No,,,0.039787881,,,,,,,,Not Rated,Unknown,1,1,43.85,1,75,6.38,0,68.25,34.38,Moderate
Rappahannock Dam #2,157dd007,VA157020,VA157020,,Not Listed,Not Listed,0,No,,,,Virginia,157020,38.7962,-78.1211,Rappahannock,Front Royal,9.3,Hittles Mill Stream,"Virginia, Congressional District 10",Yes,Yes,Department of Conservation and Recreation,Yes,Yes,Yes,No,No,,,,,,31,,,31,25-50 feet,280,,,Undetermined,125.17,125.17,59.28,5.7,6.83,,,,,12/4/2022,,No,,https://damsafety.org/virginia,Not Applicable,3/8/2021,No,No,3438,15720,6.83987951,3267,452,745,483,23,<Null>,,Not Rated,Unknown,0,0,48.72,1,0,91.97,78.15,84.25,59.23,High
Younger Dam,,VA141032,VA141032,James Younger,Private,Private,0,No,,,,Virginia,141032,36.5823,-80.3481,Patrick,Stuart,5.8,Sandy Creek,"Virginia, Congressional District 09",Yes,Yes,Department of Conservation and Recreation,Yes,Yes,Yes,No,No,,Earth,Earth,,,54,,,54,51-100 feet,650,,,Undetermined,36,36,34,1.7,0.05,,,,,12/4/2022,,No,,https://damsafety.org/virginia,Not Applicable,3/8/2021,No,No,187,415,0.049856573,2772,596,976,670,57,<Null>,,Not Rated,Unknown,0,0,49.52,1,0,11.53,81.5,84.25,39.99,Moderate
Shoosmith Dam,041dd154,VA041097,VA041097,Dean Shoosmith,Private,Private,0,No,,,,Virginia,41097,37.3315,-77.5055,Chesterfield,Petersburg,9.1,Swift Creek,"Virginia, Congressional District 04",Yes,Yes,Department of Conservation and Recreation,Yes,Yes,Yes,No,No,,,,,,58,,,58,51-100 feet,510,,,Undetermined,290.46,290.46,172.8,8,0.1,,,,,12/4/2022,,No,,https://damsafety.org/virginia,Not Applicable,3/8/2021,No,No,3066,4197,0.099299714,6489,303,928,346,15,<Null>,4/11/2023 0:00,Fair,"Low, Prelim",0,0,41.81,0,0,19.95,78.44,63,37.43,Moderate
Tpd Enterprises,01900dd179,VA019089,VA019089,,Not Listed,Not Listed,,No,,,,Virginia,19089,37.2844,-79.3539,Bedford,Lynchburg,14.7,Lick Run,"Virginia, Congressional District 05",Yes,Yes,Department of Conservation and Recreation,Yes,Yes,Yes,No,No,,Earth,Earth,,,25,,,25,25-50 feet,,,,Undetermined,81,81,47.6,6.1,0.2,,,,,12/4/2022,,No,,https://damsafety.org/virginia,Not Applicable,1/5/2021,No,No,2809,541,0.19545649,5411,950,1021,676,25,<Null>,,Not Rated,Unknown,0,0,47.45,1,0,32.75,83.39,84.25,45.15,Moderate
Duis Dam,01900dd223,VA019100,VA019100,,Not Listed,Not Listed,,No,,,,Virginia,19100,37.3219,-79.4292,Bedford,Lynchburg,17,Little Otter River,"Virginia, Congressional District 09",Yes,Yes,Department of Conservation and Recreation,Yes,Yes,Yes,No,No,,Earth,Earth,,,29,,,29,25-50 feet,,,,Undetermined,43.73,43.73,22.6,2.57,0.06,,,,,12/4/2022,,No,,https://damsafety.org/virginia,Not Applicable,1/5/2021,No,No,2824,552,0.061863933,4209,799,470,452,10,<Null>,,Not Rated,Unknown,1,1,47.36,1,75,14.28,77.71,84.25,54.38,High
Goode Dam,01900dd401,VA019136,VA019136,,Not Listed,Not Listed,,No,,,,Virginia,19136,37.4582,-79.5236,Bedford,Lynchburg,21.1,Boyles Branch,"Virginia, Congressional District 09",Yes,Yes,Department of Conservation and Recreation,Yes,Yes,Yes,No,No,,Earth,Earth,,,25,,,25,25-50 feet,,,,Undetermined,68.21,68.21,29.5,4.56,0.72,,,,,12/4/2022,,No,,https://damsafety.org/virginia,Not Applicable,1/5/2021,No,No,2860,589,0.723635554,3666,481,1036,415,56,<Null>,,Not Rated,Unknown,1,1,47.27,1,75,62.32,81.08,84.25,67.04,High
Rappahannock Dam #8,157dd022,VA157033,VA157033,,Not Listed,Not Listed,0,No,,,,Virginia,157033,38.7858,-78.0728,Rappahannock,Front Royal,11.2,Jordan River,"Virginia, Congressional District 10",Yes,Yes,Department of Conservation and Recreation,Yes,Yes,Yes,No,No,,,,,,22,,,22,Less than 25 feet,230,,,Undetermined,81.93,81.93,30.12,5.02,1.17,,,,,12/4/2022,,No,,https://damsafety.org/virginia,Not Applicable,3/8/2021,No,No,3451,15733,1.17366195,3267,452,745,483,23,<Null>,,Not Rated,Unknown,1,1,46.98,1,75,71.87,78.15,84.25,68.77,High
Dillard Dam,,VA057017,VA057017,,Not Listed,Not Listed,0,No,,Recreation,Recreation,Virginia,57017,37.9137,-76.856,Essex,Tappahannock,0.7,Hoskins Creek,"Virginia, Congressional District 01",Yes,Yes,Department of Conservation and Recreation,Yes,Yes,Yes,No,No,,Earth,Earth,,,18,,,18,Less than 25 feet,,,,Undetermined,176,176,,,0.55,,,,,12/4/2022,,No,,https://damsafety.org/virginia,Not Applicable,3/8/2021,No,No,455,5717,0.550217628,3394,1045,862,610,206,Development,,Not Rated,"Significant, Prelim",0,1,57.25,0,40,56,86.24,84.25,61.99,High
Hamilton Dam,145dd158,VA145084,VA145084,Forrest Hamilton,Private,Private,0,No,,,,Virginia,145084,37.5372,-77.7735,Powhatan,Richmond,18.5,Dutoy Creek,"Virginia, Congressional District 05",Yes,Yes,Department of Conservation and Recreation,Yes,Yes,Yes,No,No,,,,,,26,,,26,25-50 feet,250,,,Undetermined,213.38,213.38,151.89,18.3,1.04,,,,,12/4/2022,,No,,https://damsafety.org/virginia,Not Applicable,3/8/2021,No,No,3383,14586,1.04420018,6737,427,1784,809,29,<Null>,,Not Rated,"Low, Prelim",0,0,38.43,0,0,70,83.9,84.25,52.31,High
Blanken Dam,10500dd088,VA105007,VA105007,,Not Listed,Not Listed,,No,,,,Virginia,105007,36.6655,-83.0794,Lee,Big Stone Gap,21.9,,"Virginia, Congressional District 09",Yes,Yes,Department of Conservation and Recreation,Yes,Yes,Yes,No,No,,,,,,29,,,29,25-50 feet,,,,Undetermined,99.76,99.76,50.1,5.01,0.29,,,,,12/4/2022,,No,,https://damsafety.org/virginia,Not Applicable,1/5/2021,No,No,2912,679,0.290920436,2755,838,599,623,49,<Null>,,Not Rated,Unknown,0,0,48.23,1,0,41.37,80.92,84.25,47.01,Moderate
Rappahannock Dam #23,157dd084,VA157025,VA157025,,Not Listed,Not Listed,0,No,,,,Virginia,157025,38.6225,-78.2167,Rappahannock,Luray,13.3,White Walnut Run,"Virginia, Congressional District 10",Yes,Yes,Department of Conservation and Recreation,Yes,Yes,Yes,No,No,,,,,,31,,,31,25-50 feet,420,,,Undetermined,75.14,75.14,22.08,4.6,,,,,,12/4/2022,,No,,https://damsafety.org/virginia,Not Applicable,3/8/2021,No,No,3443,15725,,4155,767,1223,534,22,<Null>,,Not Rated,Unknown,1,1,48.18,1,75,50,81.46,84.25,64.26,High
Little Dam,145dd043,VA145070,VA145070,Sean Little,Private,Private,0,No,,,,Virginia,145070,37.6449,-77.8951,Powhatan,Richmond,26.1,Hughes Creek,"Virginia, Congressional District 05",Yes,Yes,Department of Conservation and Recreation,Yes,Yes,Yes,No,No,,,,,,27,,,27,25-50 feet,310,,,Undetermined,96.99,96.99,66.24,7.2,0.26,,,,,12/4/2022,,No,,https://damsafety.org/virginia,Not Applicable,3/8/2021,No,No,3369,14570,0.256899059,6681,530,1600,800,113,<Null>,1/5/1998,Not Rated,Unknown,0,0,47.93,1,0,38.26,87.31,84.25,47.43,Moderate
Unidentified Dam,01900dd439,VA019141,VA019141,,Not Listed,Not Listed,,No,,,,Virginia,19141,37.4964,-79.2399,Bedford,Lynchburg,7.8,James River,"Virginia, Congressional District 05",Yes,Yes,Department of Conservation and Recreation,Yes,Yes,Yes,No,No,,Earth,Earth,,,42,,,42,25-50 feet,,,,Undetermined,81.67,81.67,44.2,3.45,0.09,,,,,12/4/2022,,No,,https://damsafety.org/virginia,Not Applicable,1/5/2021,No,No,2865,595,0.092173398,7814,936,1316,648,15,<Null>,,Not Rated,Unknown,0,0,49.42,1,0,18.78,83.97,84.25,42.27,Moderate
Rancks Dam,145dd037,VA145068,VA145068,Rancks LLC,Private,Private,0,No,,,,Virginia,145068,37.5656,-77.9228,Powhatan,Richmond,26.7,Fine Creek,"Virginia, Congressional District 05",Yes,Yes,Department of Conservation and Recreation,Yes,Yes,Yes,No,No,,,,,,34,,,34,25-50 feet,900,,,Undetermined,270.64,270.64,211.2,17.6,0.13,,,,,12/4/2022,,No,,https://damsafety.org/virginia,Not Applicable,3/8/2021,No,No,3367,14568,0.13473013,6681,530,1600,800,113,Development,,Not Rated,"High, Prelim",1,1,79.9,0,75,25.3,87.31,84.25,67.19,High
Upperville Dam,107dd165,VA107125,VA107125,UPPERVILLE LLC,Private,Private,,No,,,,Virginia,107125,38.9991,-77.8263,Loudoun,Leesburg,16.2,Panther Skin Creek,"Virginia, Congressional District 10",Yes,Yes,Department of Conservation and Recreation,Yes,Yes,Yes,No,No,,,,,,27,,,27,25-50 feet,,,,Undetermined,30.1,30.1,18.4,2,0.07,,,,,12/4/2022,,No,,https://damsafety.org/virginia,Not Applicable,1/5/2021,No,No,3513,10811,,7420,447,1119,466,25,<Null>,,Not Rated,Unknown,0,0,46.7,1,0,15.44,82.03,84.25,40.37,Moderate
Reisinger Dam,085dd101,VA085107,VA085107,Kayellen Reisinger,Private,Private,0,No,,,,Virginia,85107,37.8063,-77.4897,Hanover,Richmond,18.6,South Anna River,"Virginia, Congressional District 05",Yes,Yes,Department of Conservation and Recreation,Yes,Yes,Yes,No,No,,,,,,24,,,24,Less than 25 feet,200,,,Undetermined,68.16,68.16,57.6,6.4,0.02,,,,,12/4/2022,,No,,https://damsafety.org/virginia,Not Applicable,3/8/2021,No,No,3091,8610,0.024240624,3216,504,935,546,12,<Null>,,Not Rated,Unknown,0,0,47.11,1,0,1.32,77.63,84.25,36.06,Moderate
Mayo Dam,047dd025,VA047032,VA047032,"MAYO, ROBERT",Private,Private,0,No,,,,Virginia,47032,38.5035,-78.1972,Culpeper,Culpeper,11.1,Rocky Run,"Virginia, Congressional District 07",Yes,Yes,Department of Conservation and Recreation,Yes,Yes,Yes,No,No,,,,,,34,,,34,25-50 feet,,,,Undetermined,63.65,63.65,38.5,3.5,0.03,,,,,12/4/2022,,No,,https://damsafety.org/virginia,Not Applicable,1/5/2021,No,No,3101,4736,0.03080591,6930,789,1509,1371,45,<Null>,,Not Rated,Unknown,1,1,48.35,1,75,2.29,87.32,84.25,53.55,High
Grove Dam,01900dd323,VA019119,VA019119,,Not Listed,Not Listed,,No,,,,Virginia,19119,37.3924,-79.3371,Bedford,Lynchburg,10.8,Elk Creek,"Virginia, Congressional District 05",Yes,Yes,Department of Conservation and Recreation,Yes,Yes,Yes,No,No,,Earth,Earth,,,26,,,26,25-50 feet,,,,Undetermined,58.34,58.34,31,4.08,0.19,,,,,12/4/2022,,No,,https://damsafety.org/virginia,Not Applicable,1/5/2021,No,No,2843,571,0.193170547,3997,354,879,479,35,<Null>,,Not Rated,Unknown,1,1,47.25,1,75,32.63,79.51,84.25,59.3,High
Rappahannock Dam #24,157dd093,VA157026,VA157026,,Not Listed,Not Listed,0,No,,,,Virginia,157026,38.6099,-78.1139,Rappahannock,Culpeper,11.4,Mill Run,"Virginia, Congressional District 10",Yes,Yes,Department of Conservation and Recreation,Yes,Yes,Yes,No,No,,,,,,24,,,24,Less than 25 feet,215,,,Undetermined,102.34,102.34,68.73,8.7,0.58,,,,,12/4/2022,,No,,https://damsafety.org/virginia,Not Applicable,3/8/2021,No,No,3444,15726,0.578837037,4155,767,1223,534,22,<Null>,,Not Rated,Unknown,1,1,47.55,1,75,57.16,81.46,84.25,65.89,High
Carrington Dam,01900dd434,VA019139,VA019139,,Not Listed,Not Listed,,No,,,,Virginia,19139,37.4899,-79.2417,Bedford,Lynchburg,7.6,Widemouth Creek,"Virginia, Congressional District 05",Yes,Yes,Department of Conservation and Recreation,Yes,Yes,Yes,No,No,,Earth,Earth,,,33,,,33,25-50 feet,,,,Undetermined,67.96,67.96,51.5,4.12,0.06,,,,,12/4/2022,,No,,https://damsafety.org/virginia,Not Applicable,1/5/2021,No,No,2863,593,0.061060552,7814,936,1316,648,15,<Null>,,Not Rated,Unknown,0,0,48.31,1,0,14.16,83.97,84.25,40.84,Moderate
Lollis Dam,01900dd380,VA019132,VA019132,,Not Listed,Not Listed,,No,,,,Virginia,19132,37.4352,-79.3154,Bedford,Lynchburg,9.6,Ivy Creek,"Virginia, Congressional District 05",Yes,Yes,Department of Conservation and Recreation,Yes,Yes,Yes,No,No,,Earth,Earth,,,34,,,34,25-50 feet,,,,Undetermined,64.46,64.46,45,4.02,0.09,,,,,12/4/2022,,No,,https://damsafety.org/virginia,Not Applicable,1/5/2021,No,No,2856,584,0.090018787,7814,936,1316,648,15,<Null>,,Not Rated,Unknown,1,1,48.37,1,75,18.67,83.97,84.25,56.98,High
Gilliam Dam,01900dd245,VA019106,VA019106,,Not Listed,Not Listed,,No,,,,Virginia,19106,37.3381,-79.7765,Bedford,Roanoke,10.2,Thompson Creek,"Virginia, Congressional District 09",Yes,Yes,Department of Conservation and Recreation,Yes,Yes,Yes,No,No,,Earth,Earth,,,32,,,32,25-50 feet,220,,,Undetermined,45.49,45.49,27.9,2.71,0.31,,,,,12/4/2022,,No,,https://damsafety.org/virginia,Not Applicable,1/5/2021,No,No,2830,558,0.310374409,2517,498,493,410,42,<Null>,,Not Rated,Unknown,1,1,47.77,1,75,42.84,77.68,84.25,61.61,High
Brewster Dam,085dd062,VA085102,VA085102,Maribeth Brewster,Private,Private,0,No,,,,Virginia,85102,37.8017,-77.7115,Hanover,Louisa,21.9,Rock Ford Creek,"Virginia, Congressional District 05",Yes,Yes,Department of Conservation and Recreation,Yes,Yes,Yes,No,No,,,,,,9,,,9,Less than 25 feet,400,,,Undetermined,51.12,51.12,24.79,13.77,2.53,,,,,12/4/2022,,No,,https://damsafety.org/virginia,Not Applicable,3/8/2021,No,No,3086,8605,2.53299928,6184,455,1032,544,0,<Null>,,Not Rated,Unknown,1,1,43.23,1,75,81.76,73.95,84.25,69.46,High
Rappahannock Dam #17,157dd059,VA157017,VA157017,,Not Listed,Not Listed,0,No,,,,Virginia,157017,38.6636,-78.0166,Rappahannock,Warrenton,12.5,Hawkins Run,"Virginia, Congressional District 10",Yes,Yes,Department of Conservation and Recreation,Yes,Yes,Yes,No,No,,,,,,20,,,20,Less than 25 feet,480,,,Undetermined,119.61,119.61,40.4,10.1,1.27,,,,,12/4/2022,,No,,https://damsafety.org/virginia,Not Applicable,3/8/2021,No,No,3435,15717,1.26845396,4155,767,1223,534,22,<Null>,,Not Rated,Unknown,1,1,47.03,1,75,72.95,81.46,84.25,69.71,High
Rappahannock Dam #13,157dd049,VA157013,VA157013,,Not Listed,Not Listed,0,No,,,,Virginia,157013,38.7105,-78.0876,Rappahannock,Front Royal,15.4,Battle Run,"Virginia, Congressional District 10",Yes,Yes,Department of Conservation and Recreation,Yes,Yes,Yes,No,No,,,,,,27,,,27,25-50 feet,375,,,Undetermined,375.84,375.84,68.44,11.8,3.04,,,,,12/4/2022,,No,,https://damsafety.org/virginia,Not Applicable,3/8/2021,No,No,3431,15713,3.04690599,4155,767,1223,534,22,<Null>,,Not Rated,"Low, Prelim",1,1,39.18,0,75,84.4,81.46,84.25,70.61,High
Farris Dam,01900dd348,VA019124,VA019124,,Not Listed,Not Listed,,No,,,,Virginia,19124,37.4112,-79.3077,Bedford,Lynchburg,9.1,Ivy Creek,"Virginia, Congressional District 05",Yes,Yes,Department of Conservation and Recreation,Yes,Yes,Yes,No,No,,Earth,Earth,,,31,,,31,25-50 feet,,,,Undetermined,56.12,56.12,31.3,3.33,0.16,,,,,12/4/2022,,No,,https://damsafety.org/virginia,Not Applicable,1/5/2021,No,No,2848,576,0.161025599,7814,936,1316,648,15,<Null>,,Not Rated,Unknown,1,1,47.87,1,75,28.79,83.97,84.25,59.38,High
Rappahannock Dam #25,157dd095,VA157027,VA157027,,Not Listed,Not Listed,0,No,,,,Virginia,157027,38.6083,-78.0783,Rappahannock,Culpeper,10.3,Hazel River,"Virginia, Congressional District 10",Yes,Yes,Department of Conservation and Recreation,Yes,Yes,Yes,No,No,,,,,,25,,,25,25-50 feet,,,,Undetermined,50.08,50.08,30.89,3.96,0.27,,,,,12/4/2022,,No,,https://damsafety.org/virginia,Not Applicable,1/5/2021,No,No,3445,15727,0.26985532,4155,767,1223,534,22,<Null>,,Not Rated,Unknown,1,1,46.94,1,75,39.97,81.46,84.25,61.44,High
Rogers Dam,,VA049019,VA049019,,Not Listed,Not Listed,0,No,,Recreation,Recreation,Virginia,49019,37.4798,-78.2477,Cumberland,Farmville,0,Tear Wallet Creek,"Virginia, Congressional District 05",Yes,Yes,Department of Conservation and Recreation,Yes,Yes,Yes,No,No,,Earth,Earth,,,30,,,30,25-50 feet,,,,Undetermined,46,46,,,0.08,,,,,12/4/2022,,No,,https://damsafety.org/virginia,Not Applicable,3/8/2021,No,No,2172,4919,0.079860427,2369,363,572,418,62,<Null>,,Not Rated,Unknown,1,1,47.54,1,75,16.61,77.86,84.25,55.03,High
Buckingham Dam,,VA119009,VA119009,,Not Listed,Not Listed,0,No,,Recreation,Recreation,Virginia,119009,37.7117,-76.64,Middlesex,Tappahannock,18.8,Wyatt Swamp,"Virginia, Congressional District 01",Yes,Yes,Department of Conservation and Recreation,Yes,Yes,Yes,No,No,,Earth,Earth,,,17,,,17,Less than 25 feet,,,,Undetermined,104,104,,,,,,,,12/4/2022,,No,,https://damsafety.org/virginia,Not Applicable,3/8/2021,No,No,1210,11909,,1734,230,514,256,11,<Null>,,Not Rated,Unknown,0,0,46.28,1,0,50,70.48,84.25,46.59,Moderate
Proximity Dam,107dd024,VA107117,VA107117,PROXIMITY COHOUSING,Private,Private,0,No,,,,Virginia,107117,39.2748,-77.566,Loudoun,Leesburg,11,Catoctin Creek,"Virginia, Congressional District 10",Yes,Yes,Department of Conservation and Recreation,Yes,Yes,Yes,No,No,,,,,,30,,,30,25-50 feet,,,,Undetermined,24.9,24.9,17,1.7,0.05,,,,,12/4/2022,,No,,https://damsafety.org/virginia,Not Applicable,1/5/2021,No,No,3311,10803,0.047062442,3455,328,496,268,21,<Null>,,Not Rated,Unknown,0,0,46.9,1,0,11.1,75.36,84.25,38,Moderate
Rappahannock Dam #20,157dd067,VA157021,VA157021,,Not Listed,Not Listed,0,No,,,,Virginia,157021,38.6614,-78.0423,Rappahannock,Culpeper,13.2,Hawkins Run,"Virginia, Congressional District 10",Yes,Yes,Department of Conservation and Recreation,Yes,Yes,Yes,No,No,,,,,,27,,,27,25-50 feet,,,,Undetermined,52.65,52.65,25.5,2.9,0.05,,,,,12/4/2022,,No,,https://damsafety.org/virginia,Not Applicable,1/5/2021,No,No,3439,15721,0.052631952,4155,767,1223,534,22,<Null>,,Not Rated,Unknown,0,0,47.28,1,0,12.38,81.46,84.25,39.63,Moderate
Ortel Dam,,VA049023,VA049023,,Not Listed,Not Listed,0,No,,Recreation,Recreation,Virginia,49023,37.3684,-78.4079,Cumberland,Farmville,0,Dry Creek,"Virginia, Congressional District 05",Yes,Yes,Department of Conservation and Recreation,Yes,Yes,Yes,No,No,,Earth,Earth,,,20,,,20,Less than 25 feet,,,,Undetermined,114,114,,,0.06,,,,,12/4/2022,,No,,https://damsafety.org/virginia,Not Applicable,3/8/2021,No,No,2176,4923,0.059260797,3967,686,834,666,137,<Null>,,Not Rated,Unknown,0,0,46.98,1,0,13.7,84.89,84.25,40.57,Moderate
Bryan Dam,01900dd196,VA019096,VA019096,,Not Listed,Not Listed,,No,,,,Virginia,19096,37.2998,-79.389,Bedford,Lynchburg,15.7,Big Otter River,"Virginia, Congressional District 05",Yes,Yes,Department of Conservation and Recreation,Yes,Yes,Yes,No,No,,Earth,Earth,,,30,,,30,25-50 feet,,,,Undetermined,88.32,88.32,51.6,5.38,0.68,,,,,12/4/2022,,No,,https://damsafety.org/virginia,Not Applicable,1/5/2021,No,No,2816,548,0.6822083,5411,950,1021,676,25,<Null>,,Not Rated,Unknown,1,1,48.23,1,75,61.04,83.39,84.25,67.42,High
