Dam Name,Other Names,NID ID,Federal ID,Owner Names,Owner Types,Primary Owner Type,Number of Associated Structures,Is Associated Structure?,Designer Names,Primary Purpose,Purposes,Source Agency,State or Federal Agency ID,Latitude,Longitude,County,City,Distance to Nearest City (Miles),River or Stream Name,Congressional District,State Regulated Dam,State Jurisdictional Dam,State Regulatory Agency,State Permitting Authority,State Inspection Authority,State Enforcement Authority,Federally Regulated Dam,Built Under the Authority of the Secretary of Agriculture,NRCS Watershed Dam Authorization,Primary Dam Type,Dam Types,Core Types,Foundation,Dam Height (Ft),Hydraulic Height (Ft),Structural Height (Ft),NID Height (Ft),NID Height Category,Dam Length (Ft),Volume (Cubic Yards),Year Completed,Year Completed Category,NID Storage (Acre-Ft),Max Storage (Acre-Ft),Normal Storage (Acre-Ft),Surface Area (Acres),Drainage Area (Sq Miles),Max Discharge (Cubic Ft/Second),Spillway Type,Spillway Width (Ft),Outlet Gate Type,Data Last Updated,Inspection Frequency,EAP Prepared,EAP Last Revision Date,Website URL,Operational Status,Operational Status Date,Inundation Maps Added to NID?,Has Photo?,damid,LegacyNumb,DCR_Watershed_SqMi,SVI_TotalPop_InZone,SVI_Pop_POV150,SVI_Pop_AGE65,SVI_Pop_DISABL,SVI_Pop_NOVEH,DCR_EP_Status,Inspection_Date_Final,Condition_Final,Hazard_Final,In Fathom 100yr Flood Zone,In Fathom 500yr Flood Zone,D1_Hazard_Score,Needs_Hazard_Classification,D2_Flood_Score,D3_Watershed_Score,D4_Impact_Score,D5_DataQuality_Score,Triage_Score,Priority_Band
Miller School Dam,Alumni Dam,VA003130,VA003130,Miller School of Albemarle,Private,Private,0,No,USDA NRCS,Recreation,Recreation,Virginia,3130,38.0025,-78.6956,Albemarle,Waynesboro,0.85,MILLER BRANCH,"Virginia, Congressional District 05",Yes,Yes,Department of Conservation and Recreation,Yes,Yes,Yes,No,No,,Earth,Earth,,,29,,,29,25-50 feet,170,,,Undetermined,248,248,122,9.5,1.15,,,,,12/4/2022,3,Yes,6/27/2005,https://damsafety.org/virginia,"Under Investigation, Planning, Permitting, or Design for Remediation",4/7/2021,No,No,1822,309,1.14949763,4142,802,859,369,19,Archive,2/2/2011 0:00,Fair,Significant,1,1,59.4,0,75,71.4,79.81,63,69.96,High
Teel Dam,,VA121006,VA121006,Dale Teel;Teel Dale & Freda Family Limited Partnership,Private,Private,0,No,,Irrigation,Irrigation,Virginia,121006,37.1237,-80.3877,Montgomery,Blacksburg,0.2,NEW RIVER,"Virginia, Congressional District 09",Yes,Yes,Department of Conservation and Recreation,Yes,Yes,Yes,No,No,,Earth,Earth,,,25,,,25,25-50 feet,,,,Undetermined,78,78,44,7,1,,,,,12/4/2022,,Not Required,,https://damsafety.org/virginia,Not Applicable,1/5/2021,No,No,1222,12106,0.634116232,4798,877,521,729,34,Development,,Not Rated,"High, Prelim",0,0,77.41,0,0,59.33,82.29,68.25,57.47,High
Bear Loop Hunt Club Dam,,VA017005,VA017005,Bear Loop Hunt Club,Private,Private,0,No,,Recreation,Recreation,Virginia,17005,37.9935,-79.7239,Bath,Covington,5,LITTLE WILSON CREEK,"Virginia, Congressional District 06",Yes,Yes,Department of Conservation and Recreation,Yes,Yes,Yes,No,No,,Earth,Earth,,,22,,,22,Less than 25 feet,,,,Undetermined,74,74,36,,4.89,,,,,12/4/2022,,No,,https://damsafety.org/virginia,"Under Investigation, Planning, Permitting, or Design for Remediation",4/7/2021,No,No,153,1705,4.89254808,2418,1054,590,263,13,<Null>,4/8/1986,Not Rated,Unknown,1,1,46.88,1,75,89.21,76.31,89.25,73.21,High
Aquia Creek Dam,Smith Lake Dam,VA179009,VA179009,Stafford County  -  County Administrator,Local Government,Local Government,0,No,,Water Supply,Water Supply,Virginia,179009,38.4876,-77.3972,Stafford,Fredericksburg,1,Aquia Creek,"Virginia, Congressional District 07",Yes,Yes,Department of Conservation and Recreation,Yes,Yes,Yes,No,No,,Earth,Earth,,,81,,,81,51-100 feet,1600,,,Undetermined,10800,10800,6500,225,55.2,,,,,12/4/2022,1,Yes,10/1/2009,https://damsafety.org/virginia,Normal Operations,1/5/2021,No,No,2535,17911,55.0525475,1936,42,0,8,0,Archive,12/5/2024 0:00,Fair,High,1,1,87.18,0,75,98.8,41.93,32.5,73.13,High
Morris Dam,Two Stone Row,VA003156,VA003156,Gordon Morris;Jean Morris,Private,Private,0,No,,Recreation,Recreation,Virginia,3156,38.1471,-78.505,Albemarle,Charlottesville,8.3,TR-FISHING CREEK,"Virginia, Congressional District 05",Yes,Yes,Department of Conservation and Recreation,Yes,Yes,Yes,No,No,,Earth,Earth,,,22,,,22,Less than 25 feet,400,,,Undetermined,183,183,,,1.18,,,,,12/4/2022,,No,,https://damsafety.org/virginia,Not Applicable,3/8/2021,No,No,1848,335,1.18542254,3158,98,765,286,0,Approved,7/28/2022 0:00,Fair,Low,1,1,37.64,0,75,71.98,65.67,63,61.84,High
Peacock Hill Dam,,VA003172,VA003172,Peacock Hill Community Association,Private,Private,0,No,AMT Engineering,"Fire Protection, Stock, Or Small Fish Pond","Fire Protection, Stock, Or Small Fish Pond",Virginia,3172,38.035,-78.6404,Albemarle,Charlottesville,0.13,trib. Broad Axe Creek,"Virginia, Congressional District 05",Yes,Yes,Department of Conservation and Recreation,Yes,Yes,Yes,No,No,,Earth,Earth,,,38,,,38,25-50 feet,335,,,Undetermined,98.8,98.8,73,4.89,0.13,,,,,12/4/2022,1,Yes,11/21/2018,https://damsafety.org/virginia,"Under Investigation, Planning, Permitting, or Design for Remediation",4/7/2021,No,No,1864,351,0.128857225,6671,261,1724,365,0,Archive,12/23/2024 0:00,Fair,High,0,0,79.24,0,0,24.45,72.99,34.5,43.97,Moderate
Mayhew - East Pond Dam,,VA143055,VA143055,"Oliver C  ""Buddy"" Mayhew",Private,Private,0,No,,Irrigation,Irrigation,Virginia,143055,36.7352,-79.3561,Pittsylvania,Danville,10.5,Spring and runoff fed,"Virginia, Congressional District 05",Yes,Yes,Department of Conservation and Recreation,Yes,Yes,Yes,No,No,,Earth,Earth,,,25,,,25,25-50 feet,200,,,Undetermined,35,35,25,2.8,0.25,,,,,12/4/2022,,Not Required,,https://damsafety.org/virginia,Not Applicable,3/9/2021,No,No,1314,14355,0.251357019,2935,634,555,436,43,<Null>,,Not Rated,Unknown,0,0,46.57,1,0,37.87,79.27,68.25,43.79,Moderate
Barlows Pond Dam,Laurel Lake,VA095008,VA095008,Laurel Lake Waterfront Property Owners' Association,Private,Private,0,No,,Recreation,Recreation,Virginia,95008,37.366,-76.7153,York,Williamsburg,0,SKIMINO CREEK,"Virginia, Congressional District 01",Yes,Yes,Department of Conservation and Recreation,Yes,Yes,Yes,No,No,,Earth,Earth,,,12,,,12,Less than 25 feet,860,,,Undetermined,300,300,200,52,8.26,,,,,12/4/2022,3,Yes,10/4/2011,https://damsafety.org/virginia,"Under Investigation, Planning, Permitting, or Design for Remediation",3/9/2021,No,No,,,0.039787881,,,,,,,8/5/2021,Fair,Significant,1,1,56.34,0,75,6.38,0,48,35.48,Moderate
Winston Lake Dam,,VA760011,VA760011,St.Michael's Episcopal School,Private,Private,0,No,,Recreation,Recreation,Virginia,760011,37.544,-77.5918,Richmond City,Richmond,0,trib. James River,"Virginia, Congressional District 04",Yes,Yes,Department of Conservation and Recreation,Yes,Yes,Yes,No,No,,Earth,Earth,,,28,,,28,25-50 feet,160,,,Undetermined,39,39,18.01,2.77,0.22,,,,,12/4/2022,1,Yes,12/15/2017,https://damsafety.org/virginia,"Under Investigation, Planning, Permitting, or Design for Remediation",3/10/2021,No,No,2710,76011,0.21501188,5412,604,1902,743,52,Approved,3/8/2024 0:00,Satisfactory,High,0,0,77.1,0,0,34.5,85.27,34.5,48.4,Moderate
J. C. Stafford Dam,,VA053018,VA053018,"J. C. Stafford Stock Farm, Inc.",Private,Private,0,No,,Irrigation,Irrigation,Virginia,53018,37.1868,-77.5796,Dinwiddie,Petersburg,0,TR-HATCHER RUN,"Virginia, Congressional District 04",Yes,Yes,Department of Conservation and Recreation,Yes,Yes,Yes,No,No,,Earth,Earth,,,23,,,23,Less than 25 feet,,,,Undetermined,80,80,38,,0.22,,,,,12/4/2022,,Not Required,,https://damsafety.org/virginia,Not Applicable,3/8/2021,No,No,437,5318,0.221862495,4623,390,849,711,22,<Null>,,Not Rated,Unknown,0,0,47.12,1,0,35.27,79.97,68.25,43.42,Moderate
