Dam Name,Other Names,Former Names,NID ID,Other Structure ID,Federal ID,Owner Names,Owner Types,Primary Owner Type,Number of Associated Structures,Is Associated Structure?,Designer Names,Non-Federal Dam on Federal Property,Primary Purpose,Purposes,Source Agency,State or Federal Agency ID,Latitude,Longitude,State,County,City,Distance to Nearest City (Miles),River or Stream Name,Congressional District,State Regulated Dam,State Jurisdictional Dam,State Regulatory Agency,State Permitting Authority,State Inspection Authority,State Enforcement Authority,Federally Regulated Dam,Federal Agency Owners,Federal Agency Involvement Funding,Federal Agency Involvement Design,Federal Agency Involvement Construction,Federal Agency Involvement Regulatory,Federal Agency Involvement Inspection,Federal Agency Involvement Operation,Federal Agency Involvement Other,Built Under the Authority of the Secretary of Agriculture,NRCS Watershed Dam Authorization,Primary Dam Type,Dam Types,Core Types,Foundation,Dam Height (Ft),Hydraulic Height (Ft),Structural Height (Ft),NID Height (Ft),NID Height Category,Dam Length (Ft),Volume (Cubic Yards),Year Completed,Year Completed Category,Years Modified,NID Storage (Acre-Ft),Max Storage (Acre-Ft),Normal Storage (Acre-Ft),Surface Area (Acres),Drainage Area (Sq Miles),Max Discharge (Cubic Ft/Second),Spillway Type,Spillway Width (Ft),Number of Locks,Length of Locks (ft),Lock Width (Ft),Length of Secondary Lock (Ft),Secondary Lock Width (Ft),Outlet Gate Type,Data Last Updated,Last Inspection Date,Inspection Frequency,Hazard Potential Classification,Condition Assessment,Condition Assessment Date,EAP Prepared,EAP Last Revision Date,Website URL,Operational Status,Operational Status Date,Inundation Maps Added to NID?,American Indian/Alaska Native/Native Hawaiian,Dam Status,Deleted Reason,Has Photo?,FEMA_Flood_Zone,FEMA_Zone_Subtype,FEMA_In_SFHA,Flood_Risk_Category,Snap_Distance_m,NHD_Snap_Flag,NHD_Snap_Source,NHD_River_Name,NHD_Permanent_ID,HUC8_Code,HUC8_Name,HUC12_Code,HUC12_Name,Valid_Snap,County_Population
Mitchells Dam,,,VA081008,,VA081008,,Not Listed,Not Listed,0.0,No,,,Other,Other,Virginia,81008,36.6321,-77.6458,Virginia,Greensville,,0.0,FONTAINE CREEK,"Virginia, Congressional District 04",Yes,Yes,Department of Conservation and Recreation,Yes,Yes,Yes,No,,,,,,,,,No,,Gravity,Gravity,,,10.0,,,10,Less than 25 feet,,,,Undetermined,,102.0,102.0,36.0,,84.03,,,,,,,,,,12/4/2022,,,Undetermined,Not Rated,,No,,https://damsafety.org/virginia,Not Applicable,3/26/2022,No,,Active,,No,A,,True,High,3.7171686474694745,OK,FLOWLINE,Fountains Creek,155801073,3010204.0,Meherrin,30102040703.0,Cattail Creek-Fountains Creek,True,11373
Whitlow Dam,,,VA083055,,VA083055,Mary Lea Whitlow,Private,Private,0.0,No,,,Other,Other;Irrigation,Virginia,83055,36.6154,-79.0045,Virginia,Halifax,,,,"Virginia, Congressional District 05",Yes,Yes,Department of Conservation and Recreation,Yes,Yes,Yes,No,,,,,,,,,No,,Earth,Earth,,,26.0,,,26,25-50 feet,350.0,,,Undetermined,,82.0,82.0,46.0,5.3,0.16,,,,,,,,,,12/4/2022,,,Undetermined,Not Rated,,Not Required,,https://damsafety.org/virginia,Not Applicable,3/9/2021,No,,Active,,No,X,AREA OF MINIMAL FLOOD HAZARD,False,Low,7.054651908415595,OK,WATERBODY,,{3B1BB123-A1B1-4B83-9A34-E4F757BF8661},3010104.0,Lower Dan,30101040403.0,Stokes Creek-Lawsons Creek,True,34013
Adams Dam,,,VA075061,,VA075061,,Not Listed,Not Listed,0.0,No,,,,,Virginia,75061,37.7094,-77.8137,Virginia,Goochland,,,trib. Beaverdam Creek,"Virginia, Congressional District 05",Yes,Yes,Department of Conservation and Recreation,Yes,Yes,Yes,No,,,,,,,,,No,,Earth,Earth,,,26.0,,,26,25-50 feet,,,,Undetermined,,87.0,87.0,,,0.09,,,,,,,,,,12/4/2022,,,Undetermined,Not Rated,,No,,https://damsafety.org/virginia,Not Applicable,3/8/2021,No,,Active,,No,X,AREA OF MINIMAL FLOOD HAZARD,False,Low,0.0,OK,WATERBODY,,62587592,2080205.0,Middle James-Willis,20802050505.0,Beaverdam Creek,True,24906
Bardens Dam,,,VA007006,,VA007006,,Not Listed,Not Listed,0.0,No,,,Recreation,Recreation,Virginia,7006,37.4187,-78.0357,Virginia,Amelia,,3.0,HAW BRANCH,"Virginia, Congressional District 05",Yes,Yes,Department of Conservation and Recreation,Yes,Yes,Yes,No,,,,,,,,,No,,Earth,Earth,,,15.0,,,15,Less than 25 feet,,,,Undetermined,,110.0,110.0,52.0,,2.57,,,,,,,,,,12/4/2022,,,Undetermined,Not Rated,,No,,https://damsafety.org/virginia,Not Applicable,6/18/2022,No,,Active,,No,A,,True,High,0.0,OK,WATERBODY,Bardens Pond,61495949,2080207.0,Appomattox,20802070504.0,Haw Branch-Flat Creek,True,13309
Bowles Dam,,,VA065007,,VA065007,,Not Listed,Not Listed,0.0,No,,,Recreation,Recreation,Virginia,65007,37.8674,-78.0926,Virginia,Fluvanna,,,HORSEPEN CREEK,"Virginia, Congressional District 05",Yes,Yes,Department of Conservation and Recreation,Yes,Yes,Yes,No,,,,,,,,,No,,Earth,Earth,,,23.0,,,23,Less than 25 feet,285.0,,,Undetermined,,128.0,128.0,71.0,,1.12,,,,,,,,,,12/4/2022,,,Undetermined,Not Rated,,No,,https://damsafety.org/virginia,Not Applicable,3/8/2021,No,,Active,,No,X,AREA OF MINIMAL FLOOD HAZARD,False,Low,16.45750663919658,OK,FLOWLINE,Horsepen Creek,62572542,2080205.0,Middle James-Willis,20802050101.0,Upper Byrd Creek,True,27442
Dp Mason Dam,061dd314,,VA061074,,VA061074,"MASON, DEBORAH & PATRICK J",Private,Private,0.0,No,,,,,Virginia,61074,38.4646,-77.6826,Virginia,Fauquier,,,,"Virginia, Congressional District 10",Yes,Yes,Department of Conservation and Recreation,Yes,Yes,Yes,No,,,,,,,,,No,,,,,,19.0,,,19,Less than 25 feet,400.0,,,Undetermined,,116.18,116.18,74.34,11.8,2.03,,,,,,,,,,12/4/2022,,,Undetermined,Not Rated,,No,,https://damsafety.org/virginia,Not Applicable,3/8/2021,No,,Active,,No,X,AREA OF MINIMAL FLOOD HAZARD,False,Low,11.080210455931654,OK,WATERBODY,,{7DEB7430-E611-41D9-BBC3-9F9FB9725780},2080103.0,Rapidan-Upper Rappahannock,20801030603.0,Rock Run-Rappahannock River,True,73290
Dover Dam,,,VA003108,,VA003108,,Not Listed,Not Listed,0.0,No,,,,,Virginia,3108,38.155,-78.3267,Virginia,Albemarle,,,trib. Marshall Creek,"Virginia, Congressional District 05",Yes,Yes,Department of Conservation and Recreation,Yes,Yes,Yes,No,,,,,,,,,No,,Earth,Earth,,,27.0,,,27,25-50 feet,,,,Undetermined,,125.0,125.0,,,0.55,,,,,,,,,,12/4/2022,,,Undetermined,Not Rated,,No,,https://damsafety.org/virginia,Not Applicable,3/8/2021,No,,Active,,No,X,AREA OF MINIMAL FLOOD HAZARD,False,Low,0.0,OK,WATERBODY,,{FD783FFA-D0F3-478A-A010-CC4C23916A9E},2080204.0,Rivanna,20802040304.0,Preddy Creek,True,112513
Davis Lake Dam,,,VA019035,,VA019035,,Not Listed,Not Listed,0.0,No,,,Recreation,Recreation,Virginia,19035,37.3894,-79.2417,Virginia,Bedford,,0.1,,"Virginia, Congressional District 05",Yes,Yes,Department of Conservation and Recreation,Yes,Yes,Yes,No,,,,,,,,,No,,Earth,Earth,,,32.0,,,32,25-50 feet,,,,Undetermined,,54.0,54.0,36.0,3.7,0.22,,,,,,,,,,12/4/2022,,,Undetermined,Not Rated,,No,,https://damsafety.org/virginia,Not Applicable,3/8/2021,No,,Active,,No,X,AREA OF MINIMAL FLOOD HAZARD,False,Low,1.878203273726068,OK,FLOWLINE,,39911695,2080203.0,Middle James-Buffalo,20802030303.0,Cheese Creek-Ivy Creek,True,79761
Spotsylvania County Dam #9,177dd085,,VA177036,,VA177036,Dawn Leonard,Private,Private,0.0,No,,,,,Virginia,177036,38.2208,-77.6859,Virginia,Spotsylvania,,,,"Virginia, Congressional District 07",Yes,Yes,Department of Conservation and Recreation,Yes,Yes,Yes,No,,,,,,,,,No,,,,,,37.0,,,37,25-50 feet,200.0,,,Undetermined,,274.69,274.69,13.48,3.21,0.21,,,,,,,,,,12/4/2022,,,Undetermined,Not Rated,,No,,https://damsafety.org/virginia,Not Applicable,3/8/2021,No,,Active,,No,X,AREA OF MINIMAL FLOOD HAZARD,False,Low,0.0,OK,WATERBODY,,61381605,2080105.0,Mattaponi,20801050102.0,Robertson Run-Po River,True,141097
Claytons Dam,,,VA053014,,VA053014,,Not Listed,Not Listed,0.0,No,,,Recreation,Recreation,Virginia,53014,37.2039,-77.4951,Virginia,Dinwiddie,,0.0,CATTAIL RUN,"Virginia, Congressional District 04",Yes,Yes,Department of Conservation and Recreation,Yes,Yes,Yes,No,,,,,,,,,No,,Earth,Earth,,,14.0,,,14,Less than 25 feet,,,,Undetermined,,53.0,53.0,15.0,,0.31,,,,,,,,,,12/4/2022,,,Undetermined,Not Rated,,No,,https://damsafety.org/virginia,Not Applicable,3/26/2022,No,,Active,,No,X,AREA OF MINIMAL FLOOD HAZARD,False,Low,13.977073616303048,OK,FLOWLINE,,61482241,2080207.0,Appomattox,20802071001.0,Oldtown Creek-Appomattox River,True,28057
