Dam Name,Other Names,Former Names,NID ID,Other Structure ID,Federal ID,Owner Names,Owner Types,Primary Owner Type,Number of Associated Structures,Is Associated Structure?,Designer Names,Non-Federal Dam on Federal Property,Primary Purpose,Purposes,Source Agency,State or Federal Agency ID,Latitude,Longitude,State,County,City,Distance to Nearest City (Miles),River or Stream Name,Congressional District,State Regulated Dam,State Jurisdictional Dam,State Regulatory Agency,State Permitting Authority,State Inspection Authority,State Enforcement Authority,Federally Regulated Dam,Federal Agency Owners,Federal Agency Involvement Funding,Federal Agency Involvement Design,Federal Agency Involvement Construction,Federal Agency Involvement Regulatory,Federal Agency Involvement Inspection,Federal Agency Involvement Operation,Federal Agency Involvement Other,Built Under the Authority of the Secretary of Agriculture,NRCS Watershed Dam Authorization,Primary Dam Type,Dam Types,Core Types,Foundation,Dam Height (Ft),Hydraulic Height (Ft),Structural Height (Ft),NID Height (Ft),NID Height Category,Dam Length (Ft),Volume (Cubic Yards),Year Completed,Year Completed Category,Years Modified,NID Storage (Acre-Ft),Max Storage (Acre-Ft),Normal Storage (Acre-Ft),Surface Area (Acres),Drainage Area (Sq Miles),Max Discharge (Cubic Ft/Second),Spillway Type,Spillway Width (Ft),Number of Locks,Length of Locks (ft),Lock Width (Ft),Length of Secondary Lock (Ft),Secondary Lock Width (Ft),Outlet Gate Type,Data Last Updated,Last Inspection Date,Inspection Frequency,Hazard Potential Classification,Condition Assessment,Condition Assessment Date,EAP Prepared,EAP Last Revision Date,Website URL,Operational Status,Operational Status Date,Inundation Maps Added to NID?,American Indian/Alaska Native/Native Hawaiian,Dam Status,Deleted Reason,Has Photo?,FEMA_Flood_Zone,FEMA_Zone_Subtype,FEMA_In_SFHA,Flood_Risk_Category,Snap_Distance_m,NHD_Snap_Flag,NHD_Snap_Source,NHD_River_Name,NHD_Permanent_ID,HUC8_Code,HUC8_Name,HUC12_Code,HUC12_Name,Valid_Snap,County_Population
Brown Dam,,,VA141027,,VA141027,,Not Listed,Not Listed,0.0,No,,,,,Virginia,141027,36.5527,-80.1337,Virginia,Patrick,,,,"Virginia, Congressional District 09",Yes,Yes,Department of Conservation and Recreation,Yes,Yes,Yes,No,,,,,,,,,No,,Earth,Earth,,,50.0,,,50,51-100 feet,270.0,,,Undetermined,,40.0,40.0,32.0,1.8,0.08,,,,,,,,,,12/4/2022,,,Undetermined,Not Rated,,No,,https://damsafety.org/virginia,Not Applicable,3/8/2021,No,,Active,,No,X,AREA OF MINIMAL FLOOD HAZARD,False,Low,11.44035712614766,OK,FLOWLINE,,136628827,3010103.0,Upper Dan,30101030404.0,Lower South Mayo River,True,17660
Seals North Dam,,,VA033068,,VA033068,,Not Listed,Not Listed,0.0,No,,,,,Virginia,33068,38.0334,-77.2314,Virginia,Caroline,,,,"Virginia, Congressional District 07",Yes,Yes,Department of Conservation and Recreation,Yes,Yes,Yes,No,,,,,,,,,No,,,,,,8.0,,,8,Less than 25 feet,350.0,,,Undetermined,,138.0,138.0,,,0.37,,,,,,,,,,12/4/2022,,,Undetermined,Not Rated,,No,,https://damsafety.org/virginia,Not Applicable,3/8/2021,No,,Active,,No,X,AREA OF MINIMAL FLOOD HAZARD,False,Low,1.1702522560862263,OK,WATERBODY,,61382491,2080105.0,Mattaponi,20801050401.0,Jacks Creek-Maracossic Creek,True,31181
Laneview Dam,073dd015,,VA073012,,VA073012,,Not Listed,Not Listed,0.0,No,,,,,Virginia,73012,37.4806,-76.5416,Virginia,Gloucester,,,,"Virginia, Congressional District 01",Yes,Yes,Department of Conservation and Recreation,Yes,Yes,Yes,No,,,,,,,,,No,,,,,,17.0,,,17,Less than 25 feet,270.0,,,Undetermined,,121.92,121.92,50.6,11.0,0.38,,,,,,,,,,12/4/2022,,,Undetermined,Not Rated,,No,,https://damsafety.org/virginia,Not Applicable,3/8/2021,No,,Active,,No,X,AREA OF MINIMAL FLOOD HAZARD,False,Low,8.486706635217793,OK,FLOWLINE,,137272458,2080102.0,Great Wicomico-Piankatank,20801020401.0,Beaverdam Swamp,True,38875
Ashbrook  Dam,,,VA041065,,VA041065,,Not Listed,Not Listed,0.0,No,,,Recreation,Recreation,Virginia,41065,37.3987,-77.6853,Virginia,Chesterfield,,,,"Virginia, Congressional District 01",Yes,Yes,Department of Conservation and Recreation,Yes,Yes,Yes,No,,,,,,,,,No,,,,,,19.0,,,19,Less than 25 feet,800.0,,,Undetermined,,295.0,295.0,,,2.39,,,,,,,,,,12/4/2022,,,Undetermined,Not Rated,,No,,https://damsafety.org/virginia,Not Applicable,3/8/2021,No,,Active,,No,X,AREA OF MINIMAL FLOOD HAZARD,False,Low,5.237780813819518,OK,WATERBODY,,61495673,2080207.0,Appomattox,20802070901.0,Swift Creek Reservoir-Swift Creek,True,366019
Seals South Dam,,,VA033070,,VA033070,,Not Listed,Not Listed,0.0,No,,,,,Virginia,33070,38.0138,-77.2317,Virginia,Caroline,,,,"Virginia, Congressional District 07",Yes,Yes,Department of Conservation and Recreation,Yes,Yes,Yes,No,,,,,,,,,No,,,,,,18.0,,,18,Less than 25 feet,250.0,,,Undetermined,,138.0,138.0,,,0.44,,,,,,,,,,12/4/2022,,,Undetermined,Not Rated,,No,,https://damsafety.org/virginia,Not Applicable,3/8/2021,No,,Active,,No,X,AREA OF MINIMAL FLOOD HAZARD,False,Low,21.621407820429408,OK,FLOWLINE,,61363783,2080105.0,Mattaponi,20801050401.0,Jacks Creek-Maracossic Creek,True,31181
Upper Stonehorse Dam,,,VA075039,,VA075039,,Not Listed,Not Listed,0.0,No,,,,,Virginia,75039,37.7611,-77.9749,Virginia,Goochland,,,,"Virginia, Congressional District 05",Yes,Yes,Department of Conservation and Recreation,Yes,Yes,Yes,No,,,,,,,,,No,,,,,,35.0,,,35,25-50 feet,,,,Undetermined,,242.0,242.0,,,0.21,,,,,,,,,,12/4/2022,,,Undetermined,Not Rated,,No,,https://damsafety.org/virginia,Not Applicable,3/8/2021,No,,Active,,No,X,AREA OF MINIMAL FLOOD HAZARD,False,Low,0.0,OK,WATERBODY,,62587350,2080205.0,Middle James-Willis,20802050503.0,Big Lickinghole Creek,True,24906
Payne Pond,125dd036,,VA125024,,VA125024,,Not Listed,Not Listed,,No,,,,,Virginia,125024,37.7416,-78.8694,Virginia,Nelson,,,,"Virginia, Congressional District 05",Yes,Yes,Department of Conservation and Recreation,Yes,Yes,Yes,No,,,,,,,,,No,,,,,,30.0,,,30,25-50 feet,,,,Undetermined,,62.95,62.95,44.1,4.2,0.13,,,,,,,,,,12/4/2022,,,Undetermined,Not Rated,,No,,https://damsafety.org/virginia,Not Applicable,1/5/2021,No,,Active,,No,X,AREA OF MINIMAL FLOOD HAZARD,False,Low,14.047902912933266,OK,FLOWLINE,,39891159,2080203.0,Middle James-Buffalo,20802030702.0,Rucker Run,True,14773
Seals Middle Dam,,,VA033069,,VA033069,,Not Listed,Not Listed,0.0,No,,,,,Virginia,33069,38.0207,-77.2297,Virginia,Caroline,,,,"Virginia, Congressional District 07",Yes,Yes,Department of Conservation and Recreation,Yes,Yes,Yes,No,,,,,,,,,No,,,,,,18.0,,,18,Less than 25 feet,350.0,,,Undetermined,,207.0,207.0,,,,,,,,,,,,,12/4/2022,,,Undetermined,Not Rated,,No,,https://damsafety.org/virginia,Not Applicable,3/8/2021,No,,Active,,No,X,AREA OF MINIMAL FLOOD HAZARD,False,Low,6.495681305609045,OK,WATERBODY,,61382595,2080105.0,Mattaponi,20801050401.0,Jacks Creek-Maracossic Creek,True,31181
Burnely Pond Dam,,,VA019040,,VA019040,,Not Listed,Not Listed,0.0,No,,,,,Virginia,19040,37.4122,-79.3651,Virginia,Bedford,,,,"Virginia, Congressional District 09",Yes,Yes,Department of Conservation and Recreation,Yes,Yes,Yes,No,,,,,,,,,No,,,,,,26.0,,,26,25-50 feet,,,,Undetermined,,21.0,21.0,13.2,1.5,0.03,,,,,,,,,,12/4/2022,,,Undetermined,Not Rated,,Not Required,,https://damsafety.org/virginia,Not Applicable,3/8/2021,No,,Active,,No,X,AREA OF MINIMAL FLOOD HAZARD,False,Low,239.02544445382145,REVIEW,FLOWLINE,,{48BCD53F-549B-416C-835E-FB80E7FC1DF4},3010101.0,Upper Roanoke,30101011403.0,Chestnut Branch-Elk Creek,True,79761
Manassas Dam #1,683dd002,,VA683002,,VA683002,,Not Listed,Not Listed,0.0,No,,,,,Virginia,683002,38.7399,-77.5155,Virginia,Manassas,,,,"Virginia, Congressional District 10",No,No,,No,No,No,No,,,,,,,,,No,,,,,,10.0,,,10,Less than 25 feet,,,,Undetermined,,64.5,64.5,,16.1,3.76,,,,,,,,,,12/4/2022,,,Undetermined,Not Rated,,Not Required,,https://damsafety.org/virginia,Not Applicable,1/5/2021,No,,Active,,No,AE,FLOODWAY,True,High,5.117079209242744,OK,WATERBODY,,{B2B518B6-973F-497F-9FB7-22EB1F322782},2070010.0,Middle Potomac-Anacostia-Occoquan,20700100504.0,Rocky Branch-Broad Run,True,42620
Rappahannock Dam #2,157dd007,,VA157020,,VA157020,,Not Listed,Not Listed,0.0,No,,,,,Virginia,157020,38.7962,-78.1211,Virginia,Rappahannock,,,,"Virginia, Congressional District 10",Yes,Yes,Department of Conservation and Recreation,Yes,Yes,Yes,No,,,,,,,,,No,,,,,,31.0,,,31,25-50 feet,280.0,,,Undetermined,,125.17,125.17,59.28,5.7,6.83,,,,,,,,,,12/4/2022,,,Undetermined,Not Rated,,No,,https://damsafety.org/virginia,Not Applicable,3/8/2021,No,,Active,,No,X,AREA OF MINIMAL FLOOD HAZARD,False,Low,11.681959872406,OK,WATERBODY,,d4075292-1563-4589-879a-b666e90de859,2080103.0,Rapidan-Upper Rappahannock,20801030102.0,Jordan River,True,7422
Younger Dam,,,VA141032,,VA141032,James Younger,Private,Private,0.0,No,,,,,Virginia,141032,36.5823,-80.3481,Virginia,Patrick,,,,"Virginia, Congressional District 09",Yes,Yes,Department of Conservation and Recreation,Yes,Yes,Yes,No,,,,,,,,,No,,Earth,Earth,,,54.0,,,54,51-100 feet,650.0,,,Undetermined,,36.0,36.0,34.0,1.7,0.05,,,,,,,,,,12/4/2022,,,Undetermined,Not Rated,,No,,https://damsafety.org/virginia,Not Applicable,3/8/2021,No,,Active,,No,X,AREA OF MINIMAL FLOOD HAZARD,False,Low,10.240867173151791,OK,FLOWLINE,,136636825,3010103.0,Upper Dan,30101030103.0,Little Dan River,True,17660
Shoosmith Dam,041dd154,,VA041097,,VA041097,Dean Shoosmith,Private,Private,0.0,No,,,,,Virginia,41097,37.3315,-77.5055,Virginia,Chesterfield,,,,"Virginia, Congressional District 04",Yes,Yes,Department of Conservation and Recreation,Yes,Yes,Yes,No,,,,,,,,,No,,,,,,58.0,,,58,51-100 feet,510.0,,,Undetermined,,290.46,290.46,172.8,8.0,0.1,,,,,,,,,,12/4/2022,,,Undetermined,Not Rated,,No,,https://damsafety.org/virginia,Not Applicable,3/8/2021,No,,Active,,No,X,AREA OF MINIMAL FLOOD HAZARD,False,Low,0.1605942786023031,OK,FLOWLINE,,{CC8DDA84-6BF4-4BFF-AD25-D82FDB87FCE2},2080207.0,Appomattox,20802070902.0,Third Branch-Swift Creek,True,366019
Tpd Enterprises,01900dd179,,VA019089,,VA019089,,Not Listed,Not Listed,,No,,,,,Virginia,19089,37.2844,-79.3539,Virginia,Bedford,,,,"Virginia, Congressional District 05",Yes,Yes,Department of Conservation and Recreation,Yes,Yes,Yes,No,,,,,,,,,No,,Earth,Earth,,,25.0,,,25,25-50 feet,,,,Undetermined,,81.0,81.0,47.6,6.1,0.2,,,,,,,,,,12/4/2022,,,Undetermined,Not Rated,,No,,https://damsafety.org/virginia,Not Applicable,1/5/2021,No,,Active,,No,X,AREA OF MINIMAL FLOOD HAZARD,False,Low,12.632856836764594,OK,WATERBODY,,{D04BB998-18AE-4E0E-99C8-037D3A66B40F},3010101.0,Upper Roanoke,30101011501.0,Orrix Creek-Big Otter River,True,79761
Duis Dam,01900dd223,,VA019100,,VA019100,,Not Listed,Not Listed,,No,,,,,Virginia,19100,37.3219,-79.4292,Virginia,Bedford,,,,"Virginia, Congressional District 09",Yes,Yes,Department of Conservation and Recreation,Yes,Yes,Yes,No,,,,,,,,,No,,Earth,Earth,,,29.0,,,29,25-50 feet,,,,Undetermined,,43.73,43.73,22.6,2.57,0.06,,,,,,,,,,12/4/2022,,,Undetermined,Not Rated,,No,,https://damsafety.org/virginia,Not Applicable,1/5/2021,No,,Active,,No,X,AREA OF MINIMAL FLOOD HAZARD,False,Low,0.0,OK,WATERBODY,,44342580,3010101.0,Upper Roanoke,30101011404.0,Roaring Run-Big Otter River,True,79761
Goode Dam,01900dd401,,VA019136,,VA019136,,Not Listed,Not Listed,,No,,,,,Virginia,19136,37.4582,-79.5236,Virginia,Bedford,,,,"Virginia, Congressional District 09",Yes,Yes,Department of Conservation and Recreation,Yes,Yes,Yes,No,,,,,,,,,No,,Earth,Earth,,,25.0,,,25,25-50 feet,,,,Undetermined,,68.21,68.21,29.5,4.56,0.72,,,,,,,,,,12/4/2022,,,Undetermined,Not Rated,,No,,https://damsafety.org/virginia,Not Applicable,1/5/2021,No,,Active,,No,A,,True,High,8.84731866896328,OK,WATERBODY,,{4112955F-AE4B-433C-AFDB-075DFE8DCD38},3010101.0,Upper Roanoke,30101011402.0,North Otter Creek,True,79761
Rappahannock Dam #8,157dd022,,VA157033,,VA157033,,Not Listed,Not Listed,0.0,No,,,,,Virginia,157033,38.7858,-78.0728,Virginia,Rappahannock,,,,"Virginia, Congressional District 10",Yes,Yes,Department of Conservation and Recreation,Yes,Yes,Yes,No,,,,,,,,,No,,,,,,22.0,,,22,Less than 25 feet,230.0,,,Undetermined,,81.93,81.93,30.12,5.02,1.17,,,,,,,,,,12/4/2022,,,Undetermined,Not Rated,,No,,https://damsafety.org/virginia,Not Applicable,3/8/2021,No,,Active,,No,X,AREA OF MINIMAL FLOOD HAZARD,False,Low,8.438716426795946,OK,FLOWLINE,,2761497b-a5fb-4f5a-a029-f9faba6f4c2e,2080103.0,Rapidan-Upper Rappahannock,20801030102.0,Jordan River,True,7422
Dillard Dam,,,VA057017,,VA057017,,Not Listed,Not Listed,0.0,No,,,Recreation,Recreation,Virginia,57017,37.9137,-76.856,Virginia,Essex,,,,"Virginia, Congressional District 01",Yes,Yes,Department of Conservation and Recreation,Yes,Yes,Yes,No,,,,,,,,,No,,Earth,Earth,,,18.0,,,18,Less than 25 feet,,,,Undetermined,,176.0,176.0,,,0.55,,,,,,,,,,12/4/2022,,,Undetermined,Not Rated,,No,,https://damsafety.org/virginia,Not Applicable,3/8/2021,No,,Active,,No,X,AREA OF MINIMAL FLOOD HAZARD,False,Low,0.0,OK,WATERBODY,,123132977,2080104.0,Lower Rappahannock,20801040406.0,Little Carter Creek-Rappahannock River,True,10602
Hamilton Dam,145dd158,,VA145084,,VA145084,Forrest Hamilton,Private,Private,0.0,No,,,,,Virginia,145084,37.5372,-77.7735,Virginia,Powhatan,,,,"Virginia, Congressional District 05",Yes,Yes,Department of Conservation and Recreation,Yes,Yes,Yes,No,,,,,,,,,No,,,,,,26.0,,,26,25-50 feet,250.0,,,Undetermined,,213.38,213.38,151.89,18.3,1.04,,,,,,,,,,12/4/2022,,,Undetermined,Not Rated,,No,,https://damsafety.org/virginia,Not Applicable,3/8/2021,No,,Active,,No,A,,True,High,3.6471274833180014,OK,FLOWLINE,,{BA254D29-0481-4716-9C4C-E02DC3CB09E2},2080205.0,Middle James-Willis,20802050602.0,Norwood Creek,True,30503
Blanken Dam,10500dd088,,VA105007,,VA105007,,Not Listed,Not Listed,,No,,,,,Virginia,105007,36.6655,-83.0794,Virginia,Lee,,,,"Virginia, Congressional District 09",Yes,Yes,Department of Conservation and Recreation,Yes,Yes,Yes,No,,,,,,,,,No,,,,,,29.0,,,29,25-50 feet,,,,Undetermined,,99.76,99.76,50.1,5.01,0.29,,,,,,,,,,12/4/2022,,,Undetermined,Not Rated,,No,,https://damsafety.org/virginia,Not Applicable,1/5/2021,No,,Active,,No,X,AREA OF MINIMAL FLOOD HAZARD,False,Low,286167.64595034946,INVALID,NONE,,,,,,,False,22287
Rappahannock Dam #23,157dd084,,VA157025,,VA157025,,Not Listed,Not Listed,0.0,No,,,,,Virginia,157025,38.6225,-78.2167,Virginia,Rappahannock,,,,"Virginia, Congressional District 10",Yes,Yes,Department of Conservation and Recreation,Yes,Yes,Yes,No,,,,,,,,,No,,,,,,31.0,,,31,25-50 feet,420.0,,,Undetermined,,75.14,75.14,22.08,4.6,,,,,,,,,,,12/4/2022,,,Undetermined,Not Rated,,No,,https://damsafety.org/virginia,Not Applicable,3/8/2021,No,,Active,,No,X,AREA OF MINIMAL FLOOD HAZARD,False,Low,0.0,OK,WATERBODY,,{86865B69-31D8-4164-BE32-04999C5B71CE},2080103.0,Rapidan-Upper Rappahannock,20801030301.0,Piney River-Thornton River,True,7422
Little Dam,145dd043,,VA145070,,VA145070,Sean Little,Private,Private,0.0,No,,,,,Virginia,145070,37.6449,-77.8951,Virginia,Powhatan,,,,"Virginia, Congressional District 05",Yes,Yes,Department of Conservation and Recreation,Yes,Yes,Yes,No,,,,,,,,,No,,,,,,27.0,,,27,25-50 feet,310.0,,,Undetermined,,96.99,96.99,66.24,7.2,0.26,,,,,,,,,,12/4/2022,1/5/1998,,Undetermined,Not Rated,1/5/1998,No,,https://damsafety.org/virginia,Not Applicable,3/8/2021,No,,Active,,No,X,AREA OF MINIMAL FLOOD HAZARD,False,Low,5.75414859749762,OK,FLOWLINE,,62577520,2080205.0,Middle James-Willis,20802050504.0,Mohawk Creek-James River,True,30503
Unidentified Dam,01900dd439,,VA019141,,VA019141,,Not Listed,Not Listed,,No,,,,,Virginia,19141,37.4964,-79.2399,Virginia,Bedford,,,,"Virginia, Congressional District 05",Yes,Yes,Department of Conservation and Recreation,Yes,Yes,Yes,No,,,,,,,,,No,,Earth,Earth,,,42.0,,,42,25-50 feet,,,,Undetermined,,81.67,81.67,44.2,3.45,0.09,,,,,,,,,,12/4/2022,,,Undetermined,Not Rated,,No,,https://damsafety.org/virginia,Not Applicable,1/5/2021,No,,Active,,No,X,AREA OF MINIMAL FLOOD HAZARD,False,Low,9.733176752401995,OK,FLOWLINE,,{C7BD99AE-06FC-4ED2-A911-D86288D42264},2080203.0,Middle James-Buffalo,20802030301.0,Judith Creek-James River,True,79761
Rancks Dam,145dd037,,VA145068,,VA145068,Rancks LLC,Private,Private,0.0,No,,,,,Virginia,145068,37.5656,-77.9228,Virginia,Powhatan,,,,"Virginia, Congressional District 05",Yes,Yes,Department of Conservation and Recreation,Yes,Yes,Yes,No,,,,,,,,,No,,,,,,34.0,,,34,25-50 feet,900.0,,,Undetermined,,270.64,270.64,211.2,17.6,0.13,,,,,,,,,,12/4/2022,,,Undetermined,Not Rated,,No,,https://damsafety.org/virginia,Not Applicable,3/8/2021,No,,Active,,No,X,AREA OF MINIMAL FLOOD HAZARD,False,Low,8.127084612139596,OK,FLOWLINE,,{A695F5BA-4938-4D78-84A4-E51D50669078},2080205.0,Middle James-Willis,20802050601.0,Fine Creek-James River,True,30503
Upperville Dam,107dd165,,VA107125,,VA107125,UPPERVILLE LLC,Private,Private,,No,,,,,Virginia,107125,38.9991,-77.8263,Virginia,Loudoun,,,,"Virginia, Congressional District 10",Yes,Yes,Department of Conservation and Recreation,Yes,Yes,Yes,No,,,,,,,,,No,,,,,,27.0,,,27,25-50 feet,,,,Undetermined,,30.1,30.1,18.4,2.0,0.07,,,,,,,,,,12/4/2022,,,Undetermined,Not Rated,,No,,https://damsafety.org/virginia,Not Applicable,1/5/2021,No,,Active,,No,No Data,,False,Unknown,7.46176292648425,OK,FLOWLINE,,51763065,2070008.0,Middle Potomac-Catoctin,20700080503.0,Panther Skin Creek,True,420773
Reisinger Dam,085dd101,,VA085107,,VA085107,Kayellen Reisinger,Private,Private,0.0,No,,,,,Virginia,85107,37.8063,-77.4897,Virginia,Hanover,,,,"Virginia, Congressional District 05",Yes,Yes,Department of Conservation and Recreation,Yes,Yes,Yes,No,,,,,,,,,No,,,,,,24.0,,,24,Less than 25 feet,200.0,,,Undetermined,,68.16,68.16,57.6,6.4,0.02,,,,,,,,,,12/4/2022,,,Undetermined,Not Rated,,No,,https://damsafety.org/virginia,Not Applicable,3/8/2021,No,,Active,,No,X,AREA OF MINIMAL FLOOD HAZARD,False,Low,4.945027656776087,OK,WATERBODY,South Anna River,65103831,2080106.0,Pamunkey,20801060304.0,Cedar Creek-South Anna River,True,110513
Mayo Dam,047dd025,,VA047032,,VA047032,"MAYO, ROBERT",Private,Private,0.0,No,,,,,Virginia,47032,38.5035,-78.1972,Virginia,Culpeper,,,,"Virginia, Congressional District 07",Yes,Yes,Department of Conservation and Recreation,Yes,Yes,Yes,No,,,,,,,,,No,,,,,,34.0,,,34,25-50 feet,,,,Undetermined,,63.65,63.65,38.5,3.5,0.03,,,,,,,,,,12/4/2022,,,Undetermined,Not Rated,,No,,https://damsafety.org/virginia,Not Applicable,1/5/2021,No,,Active,,No,X,AREA OF MINIMAL FLOOD HAZARD,False,Low,15.319170389121274,OK,WATERBODY,,{B81C26F3-F69C-416C-ADAE-BA0C048DCCE8},2080103.0,Rapidan-Upper Rappahannock,20801030401.0,Hughes River,True,52822
Grove Dam,01900dd323,,VA019119,,VA019119,,Not Listed,Not Listed,,No,,,,,Virginia,19119,37.3924,-79.3371,Virginia,Bedford,,,,"Virginia, Congressional District 05",Yes,Yes,Department of Conservation and Recreation,Yes,Yes,Yes,No,,,,,,,,,No,,Earth,Earth,,,26.0,,,26,25-50 feet,,,,Undetermined,,58.34,58.34,31.0,4.08,0.19,,,,,,,,,,12/4/2022,,,Undetermined,Not Rated,,No,,https://damsafety.org/virginia,Not Applicable,1/5/2021,No,,Active,,No,X,AREA OF MINIMAL FLOOD HAZARD,False,Low,18.025767632625797,OK,WATERBODY,,44342043,3010101.0,Upper Roanoke,30101011403.0,Chestnut Branch-Elk Creek,True,79761
Rappahannock Dam #24,157dd093,,VA157026,,VA157026,,Not Listed,Not Listed,0.0,No,,,,,Virginia,157026,38.6099,-78.1139,Virginia,Rappahannock,,,,"Virginia, Congressional District 10",Yes,Yes,Department of Conservation and Recreation,Yes,Yes,Yes,No,,,,,,,,,No,,,,,,24.0,,,24,Less than 25 feet,215.0,,,Undetermined,,102.34,102.34,68.73,8.7,0.58,,,,,,,,,,12/4/2022,,,Undetermined,Not Rated,,No,,https://damsafety.org/virginia,Not Applicable,3/8/2021,No,,Active,,No,X,AREA OF MINIMAL FLOOD HAZARD,False,Low,3.0395759869253984,OK,WATERBODY,,66981608,2080103.0,Rapidan-Upper Rappahannock,20801030304.0,Mill Run-Thornton River,True,7422
Carrington Dam,01900dd434,,VA019139,,VA019139,,Not Listed,Not Listed,,No,,,,,Virginia,19139,37.4899,-79.2417,Virginia,Bedford,,,,"Virginia, Congressional District 05",Yes,Yes,Department of Conservation and Recreation,Yes,Yes,Yes,No,,,,,,,,,No,,Earth,Earth,,,33.0,,,33,25-50 feet,,,,Undetermined,,67.96,67.96,51.5,4.12,0.06,,,,,,,,,,12/4/2022,,,Undetermined,Not Rated,,No,,https://damsafety.org/virginia,Not Applicable,1/5/2021,No,,Active,,No,X,AREA OF MINIMAL FLOOD HAZARD,False,Low,3.121664944465234,OK,FLOWLINE,,{EBC8D97C-6328-4718-B310-C957333A41B7},2080203.0,Middle James-Buffalo,20802030301.0,Judith Creek-James River,True,79761
Lollis Dam,01900dd380,,VA019132,,VA019132,,Not Listed,Not Listed,,No,,,,,Virginia,19132,37.4352,-79.3154,Virginia,Bedford,,,,"Virginia, Congressional District 05",Yes,Yes,Department of Conservation and Recreation,Yes,Yes,Yes,No,,,,,,,,,No,,Earth,Earth,,,34.0,,,34,25-50 feet,,,,Undetermined,,64.46,64.46,45.0,4.02,0.09,,,,,,,,,,12/4/2022,,,Undetermined,Not Rated,,No,,https://damsafety.org/virginia,Not Applicable,1/5/2021,No,,Active,,No,X,AREA OF MINIMAL FLOOD HAZARD,False,Low,3.680806578475975,OK,FLOWLINE,,{A078834A-5BF3-4667-99F8-5E51B8E85B60},2080203.0,Middle James-Buffalo,20802030303.0,Cheese Creek-Ivy Creek,True,79761
Gilliam Dam,01900dd245,,VA019106,,VA019106,,Not Listed,Not Listed,,No,,,,,Virginia,19106,37.3381,-79.7765,Virginia,Bedford,,,,"Virginia, Congressional District 09",Yes,Yes,Department of Conservation and Recreation,Yes,Yes,Yes,No,,,,,,,,,No,,Earth,Earth,,,32.0,,,32,25-50 feet,220.0,,,Undetermined,,45.49,45.49,27.9,2.71,0.31,,,,,,,,,,12/4/2022,,,Undetermined,Not Rated,,No,,https://damsafety.org/virginia,Not Applicable,1/5/2021,No,,Active,,No,X,AREA OF MINIMAL FLOOD HAZARD,False,Low,9.15397109916235,OK,FLOWLINE,,44317213,3010101.0,Upper Roanoke,30101011102.0,Bore Auger Creek,True,79761
Brewster Dam,085dd062,,VA085102,,VA085102,Maribeth Brewster,Private,Private,0.0,No,,,,,Virginia,85102,37.8017,-77.7115,Virginia,Hanover,,,,"Virginia, Congressional District 05",Yes,Yes,Department of Conservation and Recreation,Yes,Yes,Yes,No,,,,,,,,,No,,,,,,9.0,,,9,Less than 25 feet,400.0,,,Undetermined,,51.12,51.12,24.79,13.77,2.53,,,,,,,,,,12/4/2022,,,Undetermined,Not Rated,,No,,https://damsafety.org/virginia,Not Applicable,3/8/2021,No,,Active,,No,A,,True,High,0.0,OK,WATERBODY,Rock Ford Creek,65106977,2080106.0,Pamunkey,20801060301.0,Taylors Creek,True,110513
Rappahannock Dam #17,157dd059,,VA157017,,VA157017,,Not Listed,Not Listed,0.0,No,,,,,Virginia,157017,38.6636,-78.0166,Virginia,Rappahannock,,,,"Virginia, Congressional District 10",Yes,Yes,Department of Conservation and Recreation,Yes,Yes,Yes,No,,,,,,,,,No,,,,,,20.0,,,20,Less than 25 feet,480.0,,,Undetermined,,119.61,119.61,40.4,10.1,1.27,,,,,,,,,,12/4/2022,,,Undetermined,Not Rated,,No,,https://damsafety.org/virginia,Not Applicable,3/8/2021,No,,Active,,No,X,AREA OF MINIMAL FLOOD HAZARD,False,Low,6.370938341717634,OK,WATERBODY,Hawkins Run,{21458534-41A0-4FD2-A593-0E025F9E630E},2080103.0,Rapidan-Upper Rappahannock,20801030304.0,Mill Run-Thornton River,True,7422
Rappahannock Dam #13,157dd049,,VA157013,,VA157013,,Not Listed,Not Listed,0.0,No,,,,,Virginia,157013,38.7105,-78.0876,Virginia,Rappahannock,,,,"Virginia, Congressional District 10",Yes,Yes,Department of Conservation and Recreation,Yes,Yes,Yes,No,,,,,,,,,No,,,,,,27.0,,,27,25-50 feet,375.0,,,Undetermined,,375.84,375.84,68.44,11.8,3.04,,,,,,,,,,12/4/2022,,,Undetermined,Not Rated,,No,,https://damsafety.org/virginia,Not Applicable,3/8/2021,No,,Active,,No,A,,True,High,3.166386761338958,OK,WATERBODY,,60f7e6aa-dfcf-48b7-880a-89a0cb646f3f,2080103.0,Rapidan-Upper Rappahannock,20801030303.0,Battle Run,True,7422
