Dam Name,Other Names,Former Names,NID ID,Other Structure ID,Federal ID,Owner Names,Owner Types,Primary Owner Type,Number of Associated Structures,Is Associated Structure?,Designer Names,Non-Federal Dam on Federal Property,Primary Purpose,Purposes,Source Agency,State or Federal Agency ID,Latitude,Longitude,State,County,City,Distance to Nearest City (Miles),River or Stream Name,Congressional District,State Regulated Dam,State Jurisdictional Dam,State Regulatory Agency,State Permitting Authority,State Inspection Authority,State Enforcement Authority,Federally Regulated Dam,Federal Agency Owners,Federal Agency Involvement Funding,Federal Agency Involvement Design,Federal Agency Involvement Construction,Federal Agency Involvement Regulatory,Federal Agency Involvement Inspection,Federal Agency Involvement Operation,Federal Agency Involvement Other,Built Under the Authority of the Secretary of Agriculture,NRCS Watershed Dam Authorization,Primary Dam Type,Dam Types,Core Types,Foundation,Dam Height (Ft),Hydraulic Height (Ft),Structural Height (Ft),NID Height (Ft),NID Height Category,Dam Length (Ft),Volume (Cubic Yards),Year Completed,Year Completed Category,Years Modified,NID Storage (Acre-Ft),Max Storage (Acre-Ft),Normal Storage (Acre-Ft),Surface Area (Acres),Drainage Area (Sq Miles),Max Discharge (Cubic Ft/Second),Spillway Type,Spillway Width (Ft),Number of Locks,Length of Locks (ft),Lock Width (Ft),Length of Secondary Lock (Ft),Secondary Lock Width (Ft),Outlet Gate Type,Data Last Updated,Last Inspection Date,Inspection Frequency,Hazard Potential Classification,Condition Assessment,Condition Assessment Date,EAP Prepared,EAP Last Revision Date,Website URL,Operational Status,Operational Status Date,Inundation Maps Added to NID?,American Indian/Alaska Native/Native Hawaiian,Dam Status,Deleted Reason,Has Photo?,FEMA_Flood_Zone,FEMA_Zone_Subtype,FEMA_In_SFHA,Flood_Risk_Category
B - 2 Pond Dam,,,VA093012,,VA093012,International Paper - Franklin Mill,Private,Private,0,No,,,Other,Other,Virginia,93012,36.648,-76.8996,Virginia,Isle of Wight,Franklin,2.3,Blackwater River offline - VAHU6 CU70 Blackwater River - Union Camp Holding PondFSTREAM,"Virginia, Congressional District 02",Yes,Yes,Department of Conservation and Recreation,Yes,Yes,Yes,No,,,,,,,,,No,,Earth,Earth,,,15,15,15,15,Less than 25 feet,4460,,,Undetermined,,1667.9,1667.9,650.1,52.4,0.86,,,,,,,,,,7/10/2023,1/25/2023,1,Low,Fair,1/25/2023,Yes,12/17/2013,https://damsafety.org/virginia,Normal Operations,3/26/2022,No,,Active,,No,X,0.2 PCT ANNUAL CHANCE FLOOD HAZARD,FALSE,Low
Wildwood Dam # 1,,,VA031008,,VA031008,Wildwood Area Recreation Association (WARA),Private,Private,0,No,USDA NRCS,,Recreation,Recreation,Virginia,31008,37.2971,-79.2732,Virginia,Campbell,Lynchburg,10.9,Unnamed tributary to Buffalo Creek - VAHU6 RU56 Buffalo Creek,"Virginia, Congressional District 05",Yes,Yes,Department of Conservation and Recreation,Yes,Yes,Yes,No,,,Natural Resources Conservation Service,,,,,,No,,Earth,Earth,Unlisted/Unknown;Unlisted/Unknown,Unlisted/Unknown,37,37,37,37,25-50 feet,400,,,Undetermined,,271.5,271.5,174,9,0.6,,Uncontrolled,4,0,0,0,,,Uncontrolled0;Uncontrolled0,12/4/2022,4/13/2022,6,Low,Poor,4/13/2022,Yes,9/6/2018,https://damsafety.org/virginia,Normal Operations,6/18/2022,No,,Active,,No,X,AREA OF MINIMAL FLOOD HAZARD,FALSE,Low
Rose Hill (Estates) Dam,"Regional Stormwater Facility B-5, Hanvr Co.",,VA085049,,VA085049,"Hanover County, Dept. of Public Works",Local Government,Local Government,0,No,,,Flood Risk Reduction,Flood Risk Reduction,Virginia,85049,37.6166,-77.3723,Virginia,Hanover,,0.1,trib. to Beaverdam Creek,"Virginia, Congressional District 01",Yes,Yes,Department of Conservation and Recreation,Yes,Yes,Yes,No,,,,,,,,,No,,Earth,Earth,,,27,,,27,25-50 feet,290,,,Undetermined,,84,84,29.7,4.7,0.58,,,,,,,,,,12/4/2022,11/10/2021,3,Significant,Satisfactory,11/10/2021,Yes,1/9/2018,https://damsafety.org/virginia,Normal Operations,1/5/2021,No,,Active,,No,X,AREA OF MINIMAL FLOOD HAZARD,FALSE,Low
Carter'S Pond Dam,"Dragom Or Walden, Johnson, Nash & Smith Dam",,VA085041,,VA085041,"Hanover County, Dept. of Public Works",Local Government,Local Government,0,No,USDA NRCS,,Recreation,Recreation;Flood Risk Reduction,Virginia,85041,37.7003,-77.3895,Virginia,Hanover,,,trib. to Kersey Creek,"Virginia, Congressional District 01",Yes,Yes,Department of Conservation and Recreation,Yes,Yes,Yes,No,,,Natural Resources Conservation Service,,,,,,No,,Earth,Earth,,,21,,,21,Less than 25 feet,125,,,Undetermined,,136.2,136.2,51.6,8,0.61,,,,,,,,,,12/4/2022,12/2/2021,3,Significant,Satisfactory,12/2/2021,Yes,9/30/2022,https://damsafety.org/virginia,Normal Operations,1/5/2021,No,,Active,,No,X,AREA OF MINIMAL FLOOD HAZARD,FALSE,Low
Clover Dam,"West Leigh Subdivision Dam, Little Ivy Creek Dam",,VA003162,,VA003162,West Leigh II POA,Private,Private,0,No,"A. Morton Thomas, Inc.",,Recreation,Recreation,Virginia,3162,38.0622,-78.5829,Virginia,Albemarle,,0,TR-IVY CREEK,"Virginia, Congressional District 05",Yes,Yes,Department of Conservation and Recreation,Yes,Yes,Yes,No,,,,,,,,,No,,Earth,Earth,,,24,,,24,Less than 25 feet,300,,1964,1960-1969,,98,98,34,7.8,2.53,,,,,,,,,,12/4/2022,6/8/2018,3,Significant,Poor,6/8/2018,Yes,11/1/2020,https://damsafety.org/virginia,Enforcement Pending/Ongoing,1/28/2021,No,,Active,,No,AE,FLOODWAY,TRUE,High
Mountain Run Dam #18,Catalpa Lake,,VA047006,,VA047006,Culpeper Soil and Water Conservation District,Local Government,Local Government,0,No,USDA NRCS;Virginia DCR - Division of Soil and Water Conservation,,Flood Risk Reduction,Flood Risk Reduction,Virginia,47006,38.4893,-78.0047,Virginia,Culpeper,,1,Balds Run,"Virginia, Congressional District 07",Yes,Yes,Department of Conservation and Recreation,Yes,Yes,Yes,No,,Natural Resources Conservation Service,Natural Resources Conservation Service,Natural Resources Conservation Service,,Natural Resources Conservation Service,,,Yes,Watershed Protection and Flood Prevention Act of 1954 (Public Law 83-566),Earth,Earth,,,43,,,43,25-50 feet,978,,,Undetermined,,2290,2290,270,46,3.99,,,,,,,,,,12/4/2022,4/14/2022,1,High,Satisfactory,4/14/2022,Yes,1/15/2020,https://damsafety.org/virginia,Normal Operations,1/5/2021,No,,Active,,No,X,AREA OF MINIMAL FLOOD HAZARD,FALSE,Low
Springfield Golf & Country Club Lower Dam,Course (Hole) 4  Pond,,VA059101,,VA059101,Springfield Golf and Country Club Inc.,Private,Private,0,No,,,Irrigation,Irrigation;Fish and Wildlife Pond;Recreation,Virginia,59101,38.7741,-77.22,Virginia,Fairfax,,0.1,Accotink Creek tributary,"Virginia, Congressional District 11",Yes,Yes,Department of Conservation and Recreation,Yes,Yes,Yes,No,,,,,,,,,No,,Earth,Earth,,,23,,,23,Less than 25 feet,300,,,Undetermined,,53.1,53.1,18.6,3.3,0.58,,,,,,,,,,12/4/2022,,,Undetermined,Not Rated,,No,,https://damsafety.org/virginia,Not Applicable,3/8/2021,No,,Active,,No,X,AREA OF MINIMAL FLOOD HAZARD,FALSE,Low
Horse Pasture Creek Dam #1c,Stanley,,VA089012,,VA089012,Blue Ridge Soil and Water Conservation District,Local Government,Local Government,0,No,USDA NRCS;Virginia DCR - Division of Soil and Water Conservation,,Flood Risk Reduction,Flood Risk Reduction,Virginia,89012,36.6658,-80.0123,Virginia,Henry,,3,HORSE PASTURE CREEK,"Virginia, Congressional District 09",Yes,Yes,Department of Conservation and Recreation,Yes,Yes,Yes,No,,Natural Resources Conservation Service,Natural Resources Conservation Service,Natural Resources Conservation Service,,Natural Resources Conservation Service,,,Yes,Watershed Protection and Flood Prevention Act of 1954 (Public Law 83-566),Earth,Earth,,,53,,,53,51-100 feet,615,,,Undetermined,,985,985,200,20.2,5.12,,,,,,,,,,12/4/2022,7/18/2019,1,High,Fair,7/18/2019,Yes,1/4/2016,https://damsafety.org/virginia,"Under Investigation, Planning, Permitting, or Design for Remediation",2/18/2021,No,,Active,,No,A,,TRUE,High
Springfield Golf & Country Club Upper Dam,Course (Hole 15) Pond,,VA059102,,VA059102,Springfield Golf and Country Club Inc.,Private,Private,0,No,,,Irrigation,Irrigation;Fish and Wildlife Pond;Recreation,Virginia,59102,38.7736,-77.2268,Virginia,Fairfax,,0.1,Accotink Creek tributary,"Virginia, Congressional District 11",Yes,Yes,Department of Conservation and Recreation,Yes,Yes,Yes,No,,,,,,,,,No,,Earth,Earth,,,23,,,23,Less than 25 feet,300,,,Undetermined,,53.1,53.1,23.35,3.7,0.23,,,,,,,,,,12/4/2022,,,Undetermined,Not Rated,,No,,https://damsafety.org/virginia,Not Applicable,3/8/2021,No,,Active,,No,X,AREA OF MINIMAL FLOOD HAZARD,FALSE,Low
Reed Creek Dam,Reed Creek Mill;Stones Mill,,VA197005,,VA197005,Robert  Downey,Private,Private,0,No,,,Recreation,Recreation,Virginia,197005,36.9358,-81.0753,Virginia,Wythe,Wytheville,1,Reed Creek - VAHU6 NE29 Reed Creek - Muskrat Branch,"Virginia, Congressional District 09",Yes,Yes,Department of Conservation and Recreation,Yes,Yes,Yes,No,,,,,,,,,No,,,,,,12,,,12,Less than 25 feet,,,,Undetermined,,63,63,63,12.6,153.31,,,,,,,,,,12/4/2022,4/28/2020,6,Low,Satisfactory,4/28/2020,No,,https://damsafety.org/virginia,Normal Operations,3/12/2021,No,,Active,,No,AE,FLOODWAY,TRUE,High
Flatrock Pond Dam,Flatrock Branch Dam,,VA025005,,VA025005,Bryant Stith,Private,Private,0,No,,,Recreation,Recreation,Virginia,25005,36.8121,-77.7596,Virginia,Brunswick,Lawrenceville,6.04,Flatrock Branch of Reedy Creek - VAHU6 CM18 Reedy Creek,"Virginia, Congressional District 04",Yes,Yes,Department of Conservation and Recreation,Yes,Yes,Yes,No,,,,,,,,,No,,Earth,Earth,Unlisted/Unknown;Unlisted/Unknown,Unlisted/Unknown,14,14,14,14,Less than 25 feet,750,,,Undetermined,,91,91,43,9.2,34.5,,Uncontrolled,30,0,0,0,,,Uncontrolled0;Uncontrolled0,12/4/2022,,,Undetermined,Not Rated,,No,,https://damsafety.org/virginia,Not Applicable,6/18/2022,No,,Active,,No,A,,TRUE,High
F.P. Griffith Water Plant Stormwater Outflow #6,Ck Report #6 (1 of 3),,VA059107,,VA059107,Fairfax County Water Authority,Public Utility,Public Utility,0,No,,,Flood Risk Reduction,Flood Risk Reduction,Virginia,59107,38.6992,-77.2623,Virginia,Fairfax,,0.5,Little Occoquan Run,"Virginia, Congressional District 11",Yes,Yes,Department of Conservation and Recreation,Yes,Yes,Yes,No,,,,,,,,,No,,Earth,Earth,,,22,,,22,Less than 25 feet,470,,,Undetermined,,50.3,50.3,15.5,2.4,0.16,,,,,,,,,,12/4/2022,,,Undetermined,Not Rated,,No,,https://damsafety.org/virginia,Not Applicable,3/8/2021,No,,Active,,No,X,AREA OF MINIMAL FLOOD HAZARD,FALSE,Low
Leatherwood Creek Dam #4,Barrow Bros. Or Rambyrollins,,VA089006,,VA089006,Blue Ridge Soil and Water Conservation District,Local Government,Local Government,0,No,USDA NRCS;Virginia DCR - Division of Soil and Water Conservation,,Flood Risk Reduction,Flood Risk Reduction,Virginia,89006,36.7411,-79.762,Virginia,Henry,,7,WET BRANCH,"Virginia, Congressional District 09",Yes,Yes,Department of Conservation and Recreation,Yes,Yes,Yes,No,,Natural Resources Conservation Service,Natural Resources Conservation Service,Natural Resources Conservation Service,,Natural Resources Conservation Service,,,Yes,Watershed Protection and Flood Prevention Act of 1954 (Public Law 83-566),Earth,Earth,,,42,,,42,25-50 feet,330,,,Undetermined,,432,432,68,7.7,1.96,,,,,,,,,,12/4/2022,8/14/2020,1,High,Fair,8/14/2020,Yes,2/4/2016,https://damsafety.org/virginia,"Under Investigation, Planning, Permitting, or Design for Remediation",2/18/2021,No,,Active,,No,AE,FLOODWAY,TRUE,High
Patriot Centre Sw Pond #2,,,VA089018,,VA089018,Henry County,Local Government,Local Government,0,No,,,Flood Risk Reduction,Flood Risk Reduction,Virginia,89018,36.7226,-79.8676,Virginia,Henry,Martinsville,2.35,Little Beaver Creek - VAHU6 RD24 Smith River - Beaver Creek,"Virginia, Congressional District 09",Yes,Yes,Department of Conservation and Recreation,Yes,Yes,Yes,No,,,,,,,,,No,,Earth,Earth,Unlisted/Unknown;Unlisted/Unknown,Unlisted/Unknown,27,27,27,27,25-50 feet,382,,,Undetermined,,175,175,43,7.5,0.81,1968.6,Uncontrolled,76,0,0,0,,,Uncontrolled0;Uncontrolled0;Uncontrolled0,12/4/2022,9/28/2022,1,High,Satisfactory,9/28/2022,Yes,9/20/2019,https://damsafety.org/virginia,"Under Investigation, Planning, Permitting, or Design for Remediation",2/18/2021,No,,Active,,No,X,AREA OF MINIMAL FLOOD HAZARD,FALSE,Low
Westfields Swm Retention Pond No. 13 Dam,Msmd Id: Wp0018   Ck#37 Report,,VA059064,,VA059064,Woodland Westfields Parcels LLC,Private,Private,0,No,,,Flood Risk Reduction,Flood Risk Reduction,Virginia,59064,38.8742,-77.4495,Virginia,Fairfax,,0.1,Tributary of Flatlick Branch,"Virginia, Congressional District 11",Yes,Yes,Department of Conservation and Recreation,Yes,Yes,Yes,No,,,,,,,,,No,,Earth,Earth,,,25,,,25,25-50 feet,270,,,Undetermined,,46.6,46.6,10.7,2.03,0.21,,,,,,,,,,12/4/2022,,,Undetermined,Not Rated,,No,,https://damsafety.org/virginia,Not Applicable,3/8/2021,No,,Active,,No,X,AREA OF MINIMAL FLOOD HAZARD,FALSE,Low
Pittsylvania Power Station Raw Water Storage Basin Dam,Multitrade Raw Water Storage,,VA143050,,VA143050,Dominion Energy;Virginia Electric and Power Company,Private;Public Utility,Private,0,No,Golder Associates,,Water Supply,Water Supply;Other,Virginia,143050,37.1026,-79.2743,Virginia,Pittsylvania,,0,STAUNTON,"Virginia, Congressional District 05",Yes,Yes,Department of Conservation and Recreation,Yes,Yes,Yes,No,,,,,,,,,No,,Earth,Earth,,,42,,,42,25-50 feet,2430,,,Undetermined,,193,193,175,11.1,0.02,,,,,,,,,,12/4/2022,4/12/2022,1,High,Satisfactory,4/12/2022,Yes,1/9/2022,https://damsafety.org/virginia,Normal Operations,1/5/2021,No,,Active,,No,X,AREA OF MINIMAL FLOOD HAZARD,FALSE,Low
Andrews Dam,,,VA149024,,VA149024,Ruby D Andrews;Willard E Andrews,Private,Private,0,No,,,Fish and Wildlife Pond,Fish and Wildlife Pond,Virginia,149024,37.0711,-77.3307,Virginia,Prince George,Carson,4.2,Unnamed tributary to Jones Hole Swamp - VAHU6 CU29 Moores Swamp - Jones Hole Swamp,"Virginia, Congressional District 04",Yes,Yes,Department of Conservation and Recreation,Yes,Yes,Yes,No,,,,,,,,,No,,Earth,Earth,,,11,11,11,11,Less than 25 feet,350,,,Undetermined,,57.2,57.2,46.9,9.38,0.05,,,,,,,,,,12/4/2022,4/23/2014,,Undetermined,Not Rated,4/23/2014,No,,https://damsafety.org/virginia,Not Applicable,3/26/2022,No,,Active,,No,X,AREA OF MINIMAL FLOOD HAZARD,FALSE,Low
South Anna Dam #4,Allen Lake,,VA109032,,VA109032,Thomas Jefferson Soil and Water Conservation District,Local Government,Local Government,0,No,USDA NRCS;Virginia DCR - Division of Soil and Water Conservation,,Flood Risk Reduction,Flood Risk Reduction,Virginia,109032,38.0319,-78.1911,Virginia,Louisa,,,TR-SOUTH ANNA,"Virginia, Congressional District 05",Yes,Yes,Department of Conservation and Recreation,Yes,Yes,Yes,No,,Natural Resources Conservation Service,Natural Resources Conservation Service,Natural Resources Conservation Service,,Natural Resources Conservation Service,,,Yes,Watershed Protection and Flood Prevention Act of 1954 (Public Law 83-566),Earth,Earth,,,32,,,32,25-50 feet,830,,1981,1980-1989,,2100,2100,84,20,4.27,,,,,,,,,,12/4/2022,12/7/2021,1,High,Satisfactory,12/7/2021,Yes,5/26/2022,https://damsafety.org/virginia,"Under Investigation, Planning, Permitting, or Design for Remediation",3/4/2021,No,,Active,,No,X,AREA OF MINIMAL FLOOD HAZARD,FALSE,Low
Lake Burnt Mills Dam,,,VA800003,,VA800003,City of Norfolk,Public Utility,Public Utility,0,No,,,Water Supply,Water Supply;Recreation,Virginia,800003,36.8407,-76.6273,Virginia,Suffolk,Suffolk,7.7,Western Branch of Nansemond River - VAHU6 JL47 Western Branch Reservoir,"Virginia, Congressional District 02",Yes,Yes,Department of Conservation and Recreation,Yes,Yes,Yes,No,,,,,,,,,No,,Earth,Earth,Earth;Unlisted/Unknown,Unlisted/Unknown,47,47,47,47,25-50 feet,2520,,,Undetermined,,18500,18500,10300,600,25.36,15665,Uncontrolled,56.5,0,0,0,,,Uncontrolled0;Uncontrolled0,12/4/2022,7/7/2020,1,High,Fair,7/7/2020,Yes,9/16/2019,https://damsafety.org/virginia,Normal Operations,3/26/2022,No,,Active,,No,A,,TRUE,High
