Dam Name,Other Names,Former Names,NID ID,Other Structure ID,Federal ID,Owner Names,Owner Types,Primary Owner Type,Number of Associated Structures,Is Associated Structure?,Designer Names,Non-Federal Dam on Federal Property,Primary Purpose,Purposes,Source Agency,State or Federal Agency ID,Latitude,Longitude,State,County,City,Distance to Nearest City (Miles),River or Stream Name,Congressional District,State Regulated Dam,State Jurisdictional Dam,State Regulatory Agency,State Permitting Authority,State Inspection Authority,State Enforcement Authority,Federally Regulated Dam,Federal Agency Owners,Federal Agency Involvement Funding,Federal Agency Involvement Design,Federal Agency Involvement Construction,Federal Agency Involvement Regulatory,Federal Agency Involvement Inspection,Federal Agency Involvement Operation,Federal Agency Involvement Other,Built Under the Authority of the Secretary of Agriculture,NRCS Watershed Dam Authorization,Primary Dam Type,Dam Types,Core Types,Foundation,Dam Height (Ft),Hydraulic Height (Ft),Structural Height (Ft),NID Height (Ft),NID Height Category,Dam Length (Ft),Volume (Cubic Yards),Year Completed,Year Completed Category,Years Modified,NID Storage (Acre-Ft),Max Storage (Acre-Ft),Normal Storage (Acre-Ft),Surface Area (Acres),Drainage Area (Sq Miles),Max Discharge (Cubic Ft/Second),Spillway Type,Spillway Width (Ft),Number of Locks,Length of Locks (ft),Lock Width (Ft),Length of Secondary Lock (Ft),Secondary Lock Width (Ft),Outlet Gate Type,Data Last Updated,Last Inspection Date,Inspection Frequency,Hazard Potential Classification,Condition Assessment,Condition Assessment Date,EAP Prepared,EAP Last Revision Date,Website URL,Operational Status,Operational Status Date,Inundation Maps Added to NID?,American Indian/Alaska Native/Native Hawaiian,Dam Status,Deleted Reason,Has Photo?,FEMA_Flood_Zone,FEMA_Zone_Subtype,FEMA_In_SFHA,Flood_Risk_Category
Brown Dam,,,VA141027,,VA141027,,Not Listed,Not Listed,0,No,,,,,Virginia,141027,36.5527,-80.1337,Virginia,Patrick,,,,"Virginia, Congressional District 09",Yes,Yes,Department of Conservation and Recreation,Yes,Yes,Yes,No,,,,,,,,,No,,Earth,Earth,,,50,,,50,51-100 feet,270,,,Undetermined,,40,40,32,1.8,0.08,,,,,,,,,,12/4/2022,,,Undetermined,Not Rated,,No,,https://damsafety.org/virginia,Not Applicable,3/8/2021,No,,Active,,No,X,AREA OF MINIMAL FLOOD HAZARD,FALSE,Low
Seals North Dam,,,VA033068,,VA033068,,Not Listed,Not Listed,0,No,,,,,Virginia,33068,38.0334,-77.2314,Virginia,Caroline,,,,"Virginia, Congressional District 07",Yes,Yes,Department of Conservation and Recreation,Yes,Yes,Yes,No,,,,,,,,,No,,,,,,8,,,8,Less than 25 feet,350,,,Undetermined,,138,138,,,0.37,,,,,,,,,,12/4/2022,,,Undetermined,Not Rated,,No,,https://damsafety.org/virginia,Not Applicable,3/8/2021,No,,Active,,No,X,AREA OF MINIMAL FLOOD HAZARD,FALSE,Low
Laneview Dam,073dd015,,VA073012,,VA073012,,Not Listed,Not Listed,0,No,,,,,Virginia,73012,37.4806,-76.5416,Virginia,Gloucester,,,,"Virginia, Congressional District 01",Yes,Yes,Department of Conservation and Recreation,Yes,Yes,Yes,No,,,,,,,,,No,,,,,,17,,,17,Less than 25 feet,270,,,Undetermined,,121.92,121.92,50.6,11,0.38,,,,,,,,,,12/4/2022,,,Undetermined,Not Rated,,No,,https://damsafety.org/virginia,Not Applicable,3/8/2021,No,,Active,,No,X,AREA OF MINIMAL FLOOD HAZARD,FALSE,Low
Ashbrook  Dam,,,VA041065,,VA041065,,Not Listed,Not Listed,0,No,,,Recreation,Recreation,Virginia,41065,37.3987,-77.6853,Virginia,Chesterfield,,,,"Virginia, Congressional District 01",Yes,Yes,Department of Conservation and Recreation,Yes,Yes,Yes,No,,,,,,,,,No,,,,,,19,,,19,Less than 25 feet,800,,,Undetermined,,295,295,,,2.39,,,,,,,,,,12/4/2022,,,Undetermined,Not Rated,,No,,https://damsafety.org/virginia,Not Applicable,3/8/2021,No,,Active,,No,X,AREA OF MINIMAL FLOOD HAZARD,FALSE,Low
Seals South Dam,,,VA033070,,VA033070,,Not Listed,Not Listed,0,No,,,,,Virginia,33070,38.0138,-77.2317,Virginia,Caroline,,,,"Virginia, Congressional District 07",Yes,Yes,Department of Conservation and Recreation,Yes,Yes,Yes,No,,,,,,,,,No,,,,,,18,,,18,Less than 25 feet,250,,,Undetermined,,138,138,,,0.44,,,,,,,,,,12/4/2022,,,Undetermined,Not Rated,,No,,https://damsafety.org/virginia,Not Applicable,3/8/2021,No,,Active,,No,X,AREA OF MINIMAL FLOOD HAZARD,FALSE,Low
Upper Stonehorse Dam,,,VA075039,,VA075039,,Not Listed,Not Listed,0,No,,,,,Virginia,75039,37.7611,-77.9749,Virginia,Goochland,,,,"Virginia, Congressional District 05",Yes,Yes,Department of Conservation and Recreation,Yes,Yes,Yes,No,,,,,,,,,No,,,,,,35,,,35,25-50 feet,,,,Undetermined,,242,242,,,0.21,,,,,,,,,,12/4/2022,,,Undetermined,Not Rated,,No,,https://damsafety.org/virginia,Not Applicable,3/8/2021,No,,Active,,No,X,AREA OF MINIMAL FLOOD HAZARD,FALSE,Low
Payne Pond,125dd036,,VA125024,,VA125024,,Not Listed,Not Listed,,No,,,,,Virginia,125024,37.7416,-78.8694,Virginia,Nelson,,,,"Virginia, Congressional District 05",Yes,Yes,Department of Conservation and Recreation,Yes,Yes,Yes,No,,,,,,,,,No,,,,,,30,,,30,25-50 feet,,,,Undetermined,,62.95,62.95,44.1,4.2,0.13,,,,,,,,,,12/4/2022,,,Undetermined,Not Rated,,No,,https://damsafety.org/virginia,Not Applicable,1/5/2021,No,,Active,,No,X,AREA OF MINIMAL FLOOD HAZARD,FALSE,Low
Seals Middle Dam,,,VA033069,,VA033069,,Not Listed,Not Listed,0,No,,,,,Virginia,33069,38.0207,-77.2297,Virginia,Caroline,,,,"Virginia, Congressional District 07",Yes,Yes,Department of Conservation and Recreation,Yes,Yes,Yes,No,,,,,,,,,No,,,,,,18,,,18,Less than 25 feet,350,,,Undetermined,,207,207,,,,,,,,,,,,,12/4/2022,,,Undetermined,Not Rated,,No,,https://damsafety.org/virginia,Not Applicable,3/8/2021,No,,Active,,No,X,AREA OF MINIMAL FLOOD HAZARD,FALSE,Low
Burnely Pond Dam,,,VA019040,,VA019040,,Not Listed,Not Listed,0,No,,,,,Virginia,19040,37.4122,-79.3651,Virginia,Bedford,,,,"Virginia, Congressional District 09",Yes,Yes,Department of Conservation and Recreation,Yes,Yes,Yes,No,,,,,,,,,No,,,,,,26,,,26,25-50 feet,,,,Undetermined,,21,21,13.2,1.5,0.03,,,,,,,,,,12/4/2022,,,Undetermined,Not Rated,,Not Required,,https://damsafety.org/virginia,Not Applicable,3/8/2021,No,,Active,,No,X,AREA OF MINIMAL FLOOD HAZARD,FALSE,Low
Manassas Dam #1,683dd002,,VA683002,,VA683002,,Not Listed,Not Listed,0,No,,,,,Virginia,683002,38.7399,-77.5155,Virginia,Manassas,,,,"Virginia, Congressional District 10",No,No,,No,No,No,No,,,,,,,,,No,,,,,,10,,,10,Less than 25 feet,,,,Undetermined,,64.5,64.5,,16.1,3.76,,,,,,,,,,12/4/2022,,,Undetermined,Not Rated,,Not Required,,https://damsafety.org/virginia,Not Applicable,1/5/2021,No,,Active,,No,AE,FLOODWAY,TRUE,High
Rappahannock Dam #2,157dd007,,VA157020,,VA157020,,Not Listed,Not Listed,0,No,,,,,Virginia,157020,38.7962,-78.1211,Virginia,Rappahannock,,,,"Virginia, Congressional District 10",Yes,Yes,Department of Conservation and Recreation,Yes,Yes,Yes,No,,,,,,,,,No,,,,,,31,,,31,25-50 feet,280,,,Undetermined,,125.17,125.17,59.28,5.7,6.83,,,,,,,,,,12/4/2022,,,Undetermined,Not Rated,,No,,https://damsafety.org/virginia,Not Applicable,3/8/2021,No,,Active,,No,X,AREA OF MINIMAL FLOOD HAZARD,FALSE,Low
Younger Dam,,,VA141032,,VA141032,James Younger,Private,Private,0,No,,,,,Virginia,141032,36.5823,-80.3481,Virginia,Patrick,,,,"Virginia, Congressional District 09",Yes,Yes,Department of Conservation and Recreation,Yes,Yes,Yes,No,,,,,,,,,No,,Earth,Earth,,,54,,,54,51-100 feet,650,,,Undetermined,,36,36,34,1.7,0.05,,,,,,,,,,12/4/2022,,,Undetermined,Not Rated,,No,,https://damsafety.org/virginia,Not Applicable,3/8/2021,No,,Active,,No,X,AREA OF MINIMAL FLOOD HAZARD,FALSE,Low
Shoosmith Dam,041dd154,,VA041097,,VA041097,Dean Shoosmith,Private,Private,0,No,,,,,Virginia,41097,37.3315,-77.5055,Virginia,Chesterfield,,,,"Virginia, Congressional District 04",Yes,Yes,Department of Conservation and Recreation,Yes,Yes,Yes,No,,,,,,,,,No,,,,,,58,,,58,51-100 feet,510,,,Undetermined,,290.46,290.46,172.8,8,0.1,,,,,,,,,,12/4/2022,,,Undetermined,Not Rated,,No,,https://damsafety.org/virginia,Not Applicable,3/8/2021,No,,Active,,No,X,AREA OF MINIMAL FLOOD HAZARD,FALSE,Low
Tpd Enterprises,01900dd179,,VA019089,,VA019089,,Not Listed,Not Listed,,No,,,,,Virginia,19089,37.2844,-79.3539,Virginia,Bedford,,,,"Virginia, Congressional District 05",Yes,Yes,Department of Conservation and Recreation,Yes,Yes,Yes,No,,,,,,,,,No,,Earth,Earth,,,25,,,25,25-50 feet,,,,Undetermined,,81,81,47.6,6.1,0.2,,,,,,,,,,12/4/2022,,,Undetermined,Not Rated,,No,,https://damsafety.org/virginia,Not Applicable,1/5/2021,No,,Active,,No,X,AREA OF MINIMAL FLOOD HAZARD,FALSE,Low
Duis Dam,01900dd223,,VA019100,,VA019100,,Not Listed,Not Listed,,No,,,,,Virginia,19100,37.3219,-79.4292,Virginia,Bedford,,,,"Virginia, Congressional District 09",Yes,Yes,Department of Conservation and Recreation,Yes,Yes,Yes,No,,,,,,,,,No,,Earth,Earth,,,29,,,29,25-50 feet,,,,Undetermined,,43.73,43.73,22.6,2.57,0.06,,,,,,,,,,12/4/2022,,,Undetermined,Not Rated,,No,,https://damsafety.org/virginia,Not Applicable,1/5/2021,No,,Active,,No,X,AREA OF MINIMAL FLOOD HAZARD,FALSE,Low
Goode Dam,01900dd401,,VA019136,,VA019136,,Not Listed,Not Listed,,No,,,,,Virginia,19136,37.4582,-79.5236,Virginia,Bedford,,,,"Virginia, Congressional District 09",Yes,Yes,Department of Conservation and Recreation,Yes,Yes,Yes,No,,,,,,,,,No,,Earth,Earth,,,25,,,25,25-50 feet,,,,Undetermined,,68.21,68.21,29.5,4.56,0.72,,,,,,,,,,12/4/2022,,,Undetermined,Not Rated,,No,,https://damsafety.org/virginia,Not Applicable,1/5/2021,No,,Active,,No,A,,TRUE,High
Rappahannock Dam #8,157dd022,,VA157033,,VA157033,,Not Listed,Not Listed,0,No,,,,,Virginia,157033,38.7858,-78.0728,Virginia,Rappahannock,,,,"Virginia, Congressional District 10",Yes,Yes,Department of Conservation and Recreation,Yes,Yes,Yes,No,,,,,,,,,No,,,,,,22,,,22,Less than 25 feet,230,,,Undetermined,,81.93,81.93,30.12,5.02,1.17,,,,,,,,,,12/4/2022,,,Undetermined,Not Rated,,No,,https://damsafety.org/virginia,Not Applicable,3/8/2021,No,,Active,,No,X,AREA OF MINIMAL FLOOD HAZARD,FALSE,Low
Dillard Dam,,,VA057017,,VA057017,,Not Listed,Not Listed,0,No,,,Recreation,Recreation,Virginia,57017,37.9137,-76.856,Virginia,Essex,,,,"Virginia, Congressional District 01",Yes,Yes,Department of Conservation and Recreation,Yes,Yes,Yes,No,,,,,,,,,No,,Earth,Earth,,,18,,,18,Less than 25 feet,,,,Undetermined,,176,176,,,0.55,,,,,,,,,,12/4/2022,,,Undetermined,Not Rated,,No,,https://damsafety.org/virginia,Not Applicable,3/8/2021,No,,Active,,No,X,AREA OF MINIMAL FLOOD HAZARD,FALSE,Low
Hamilton Dam,145dd158,,VA145084,,VA145084,Forrest Hamilton,Private,Private,0,No,,,,,Virginia,145084,37.5372,-77.7735,Virginia,Powhatan,,,,"Virginia, Congressional District 05",Yes,Yes,Department of Conservation and Recreation,Yes,Yes,Yes,No,,,,,,,,,No,,,,,,26,,,26,25-50 feet,250,,,Undetermined,,213.38,213.38,151.89,18.3,1.04,,,,,,,,,,12/4/2022,,,Undetermined,Not Rated,,No,,https://damsafety.org/virginia,Not Applicable,3/8/2021,No,,Active,,No,A,,TRUE,High
Blanken Dam,10500dd088,,VA105007,,VA105007,,Not Listed,Not Listed,,No,,,,,Virginia,105007,36.6655,-83.0794,Virginia,Lee,,,,"Virginia, Congressional District 09",Yes,Yes,Department of Conservation and Recreation,Yes,Yes,Yes,No,,,,,,,,,No,,,,,,29,,,29,25-50 feet,,,,Undetermined,,99.76,99.76,50.1,5.01,0.29,,,,,,,,,,12/4/2022,,,Undetermined,Not Rated,,No,,https://damsafety.org/virginia,Not Applicable,1/5/2021,No,,Active,,No,X,AREA OF MINIMAL FLOOD HAZARD,FALSE,Low
Rappahannock Dam #23,157dd084,,VA157025,,VA157025,,Not Listed,Not Listed,0,No,,,,,Virginia,157025,38.6225,-78.2167,Virginia,Rappahannock,,,,"Virginia, Congressional District 10",Yes,Yes,Department of Conservation and Recreation,Yes,Yes,Yes,No,,,,,,,,,No,,,,,,31,,,31,25-50 feet,420,,,Undetermined,,75.14,75.14,22.08,4.6,,,,,,,,,,,12/4/2022,,,Undetermined,Not Rated,,No,,https://damsafety.org/virginia,Not Applicable,3/8/2021,No,,Active,,No,X,AREA OF MINIMAL FLOOD HAZARD,FALSE,Low
Little Dam,145dd043,,VA145070,,VA145070,Sean Little,Private,Private,0,No,,,,,Virginia,145070,37.6449,-77.8951,Virginia,Powhatan,,,,"Virginia, Congressional District 05",Yes,Yes,Department of Conservation and Recreation,Yes,Yes,Yes,No,,,,,,,,,No,,,,,,27,,,27,25-50 feet,310,,,Undetermined,,96.99,96.99,66.24,7.2,0.26,,,,,,,,,,12/4/2022,1/5/1998,,Undetermined,Not Rated,1/5/1998,No,,https://damsafety.org/virginia,Not Applicable,3/8/2021,No,,Active,,No,X,AREA OF MINIMAL FLOOD HAZARD,FALSE,Low
Unidentified Dam,01900dd439,,VA019141,,VA019141,,Not Listed,Not Listed,,No,,,,,Virginia,19141,37.4964,-79.2399,Virginia,Bedford,,,,"Virginia, Congressional District 05",Yes,Yes,Department of Conservation and Recreation,Yes,Yes,Yes,No,,,,,,,,,No,,Earth,Earth,,,42,,,42,25-50 feet,,,,Undetermined,,81.67,81.67,44.2,3.45,0.09,,,,,,,,,,12/4/2022,,,Undetermined,Not Rated,,No,,https://damsafety.org/virginia,Not Applicable,1/5/2021,No,,Active,,No,X,AREA OF MINIMAL FLOOD HAZARD,FALSE,Low
Rancks Dam,145dd037,,VA145068,,VA145068,Rancks LLC,Private,Private,0,No,,,,,Virginia,145068,37.5656,-77.9228,Virginia,Powhatan,,,,"Virginia, Congressional District 05",Yes,Yes,Department of Conservation and Recreation,Yes,Yes,Yes,No,,,,,,,,,No,,,,,,34,,,34,25-50 feet,900,,,Undetermined,,270.64,270.64,211.2,17.6,0.13,,,,,,,,,,12/4/2022,,,Undetermined,Not Rated,,No,,https://damsafety.org/virginia,Not Applicable,3/8/2021,No,,Active,,No,X,AREA OF MINIMAL FLOOD HAZARD,FALSE,Low
Upperville Dam,107dd165,,VA107125,,VA107125,UPPERVILLE LLC,Private,Private,,No,,,,,Virginia,107125,38.9991,-77.8263,Virginia,Loudoun,,,,"Virginia, Congressional District 10",Yes,Yes,Department of Conservation and Recreation,Yes,Yes,Yes,No,,,,,,,,,No,,,,,,27,,,27,25-50 feet,,,,Undetermined,,30.1,30.1,18.4,2,0.07,,,,,,,,,,12/4/2022,,,Undetermined,Not Rated,,No,,https://damsafety.org/virginia,Not Applicable,1/5/2021,No,,Active,,No,No Data,,FALSE,Unknown
Reisinger Dam,085dd101,,VA085107,,VA085107,Kayellen Reisinger,Private,Private,0,No,,,,,Virginia,85107,37.8063,-77.4897,Virginia,Hanover,,,,"Virginia, Congressional District 05",Yes,Yes,Department of Conservation and Recreation,Yes,Yes,Yes,No,,,,,,,,,No,,,,,,24,,,24,Less than 25 feet,200,,,Undetermined,,68.16,68.16,57.6,6.4,0.02,,,,,,,,,,12/4/2022,,,Undetermined,Not Rated,,No,,https://damsafety.org/virginia,Not Applicable,3/8/2021,No,,Active,,No,X,AREA OF MINIMAL FLOOD HAZARD,FALSE,Low
Mayo Dam,047dd025,,VA047032,,VA047032,"MAYO, ROBERT",Private,Private,0,No,,,,,Virginia,47032,38.5035,-78.1972,Virginia,Culpeper,,,,"Virginia, Congressional District 07",Yes,Yes,Department of Conservation and Recreation,Yes,Yes,Yes,No,,,,,,,,,No,,,,,,34,,,34,25-50 feet,,,,Undetermined,,63.65,63.65,38.5,3.5,0.03,,,,,,,,,,12/4/2022,,,Undetermined,Not Rated,,No,,https://damsafety.org/virginia,Not Applicable,1/5/2021,No,,Active,,No,X,AREA OF MINIMAL FLOOD HAZARD,FALSE,Low
Grove Dam,01900dd323,,VA019119,,VA019119,,Not Listed,Not Listed,,No,,,,,Virginia,19119,37.3924,-79.3371,Virginia,Bedford,,,,"Virginia, Congressional District 05",Yes,Yes,Department of Conservation and Recreation,Yes,Yes,Yes,No,,,,,,,,,No,,Earth,Earth,,,26,,,26,25-50 feet,,,,Undetermined,,58.34,58.34,31,4.08,0.19,,,,,,,,,,12/4/2022,,,Undetermined,Not Rated,,No,,https://damsafety.org/virginia,Not Applicable,1/5/2021,No,,Active,,No,X,AREA OF MINIMAL FLOOD HAZARD,FALSE,Low
Rappahannock Dam #24,157dd093,,VA157026,,VA157026,,Not Listed,Not Listed,0,No,,,,,Virginia,157026,38.6099,-78.1139,Virginia,Rappahannock,,,,"Virginia, Congressional District 10",Yes,Yes,Department of Conservation and Recreation,Yes,Yes,Yes,No,,,,,,,,,No,,,,,,24,,,24,Less than 25 feet,215,,,Undetermined,,102.34,102.34,68.73,8.7,0.58,,,,,,,,,,12/4/2022,,,Undetermined,Not Rated,,No,,https://damsafety.org/virginia,Not Applicable,3/8/2021,No,,Active,,No,X,AREA OF MINIMAL FLOOD HAZARD,FALSE,Low
Carrington Dam,01900dd434,,VA019139,,VA019139,,Not Listed,Not Listed,,No,,,,,Virginia,19139,37.4899,-79.2417,Virginia,Bedford,,,,"Virginia, Congressional District 05",Yes,Yes,Department of Conservation and Recreation,Yes,Yes,Yes,No,,,,,,,,,No,,Earth,Earth,,,33,,,33,25-50 feet,,,,Undetermined,,67.96,67.96,51.5,4.12,0.06,,,,,,,,,,12/4/2022,,,Undetermined,Not Rated,,No,,https://damsafety.org/virginia,Not Applicable,1/5/2021,No,,Active,,No,X,AREA OF MINIMAL FLOOD HAZARD,FALSE,Low
Lollis Dam,01900dd380,,VA019132,,VA019132,,Not Listed,Not Listed,,No,,,,,Virginia,19132,37.4352,-79.3154,Virginia,Bedford,,,,"Virginia, Congressional District 05",Yes,Yes,Department of Conservation and Recreation,Yes,Yes,Yes,No,,,,,,,,,No,,Earth,Earth,,,34,,,34,25-50 feet,,,,Undetermined,,64.46,64.46,45,4.02,0.09,,,,,,,,,,12/4/2022,,,Undetermined,Not Rated,,No,,https://damsafety.org/virginia,Not Applicable,1/5/2021,No,,Active,,No,X,AREA OF MINIMAL FLOOD HAZARD,FALSE,Low
Gilliam Dam,01900dd245,,VA019106,,VA019106,,Not Listed,Not Listed,,No,,,,,Virginia,19106,37.3381,-79.7765,Virginia,Bedford,,,,"Virginia, Congressional District 09",Yes,Yes,Department of Conservation and Recreation,Yes,Yes,Yes,No,,,,,,,,,No,,Earth,Earth,,,32,,,32,25-50 feet,220,,,Undetermined,,45.49,45.49,27.9,2.71,0.31,,,,,,,,,,12/4/2022,,,Undetermined,Not Rated,,No,,https://damsafety.org/virginia,Not Applicable,1/5/2021,No,,Active,,No,X,AREA OF MINIMAL FLOOD HAZARD,FALSE,Low
Brewster Dam,085dd062,,VA085102,,VA085102,Maribeth Brewster,Private,Private,0,No,,,,,Virginia,85102,37.8017,-77.7115,Virginia,Hanover,,,,"Virginia, Congressional District 05",Yes,Yes,Department of Conservation and Recreation,Yes,Yes,Yes,No,,,,,,,,,No,,,,,,9,,,9,Less than 25 feet,400,,,Undetermined,,51.12,51.12,24.79,13.77,2.53,,,,,,,,,,12/4/2022,,,Undetermined,Not Rated,,No,,https://damsafety.org/virginia,Not Applicable,3/8/2021,No,,Active,,No,A,,TRUE,High
Rappahannock Dam #17,157dd059,,VA157017,,VA157017,,Not Listed,Not Listed,0,No,,,,,Virginia,157017,38.6636,-78.0166,Virginia,Rappahannock,,,,"Virginia, Congressional District 10",Yes,Yes,Department of Conservation and Recreation,Yes,Yes,Yes,No,,,,,,,,,No,,,,,,20,,,20,Less than 25 feet,480,,,Undetermined,,119.61,119.61,40.4,10.1,1.27,,,,,,,,,,12/4/2022,,,Undetermined,Not Rated,,No,,https://damsafety.org/virginia,Not Applicable,3/8/2021,No,,Active,,No,X,AREA OF MINIMAL FLOOD HAZARD,FALSE,Low
Rappahannock Dam #13,157dd049,,VA157013,,VA157013,,Not Listed,Not Listed,0,No,,,,,Virginia,157013,38.7105,-78.0876,Virginia,Rappahannock,,,,"Virginia, Congressional District 10",Yes,Yes,Department of Conservation and Recreation,Yes,Yes,Yes,No,,,,,,,,,No,,,,,,27,,,27,25-50 feet,375,,,Undetermined,,375.84,375.84,68.44,11.8,3.04,,,,,,,,,,12/4/2022,,,Undetermined,Not Rated,,No,,https://damsafety.org/virginia,Not Applicable,3/8/2021,No,,Active,,No,A,,TRUE,High
Farris Dam,01900dd348,,VA019124,,VA019124,,Not Listed,Not Listed,,No,,,,,Virginia,19124,37.4112,-79.3077,Virginia,Bedford,,,,"Virginia, Congressional District 05",Yes,Yes,Department of Conservation and Recreation,Yes,Yes,Yes,No,,,,,,,,,No,,Earth,Earth,,,31,,,31,25-50 feet,,,,Undetermined,,56.12,56.12,31.3,3.33,0.16,,,,,,,,,,12/4/2022,,,Undetermined,Not Rated,,No,,https://damsafety.org/virginia,Not Applicable,1/5/2021,No,,Active,,No,X,AREA OF MINIMAL FLOOD HAZARD,FALSE,Low
Rappahannock Dam #25,157dd095,,VA157027,,VA157027,,Not Listed,Not Listed,0,No,,,,,Virginia,157027,38.6083,-78.0783,Virginia,Rappahannock,,,,"Virginia, Congressional District 10",Yes,Yes,Department of Conservation and Recreation,Yes,Yes,Yes,No,,,,,,,,,No,,,,,,25,,,25,25-50 feet,,,,Undetermined,,50.08,50.08,30.89,3.96,0.27,,,,,,,,,,12/4/2022,,,Undetermined,Not Rated,,No,,https://damsafety.org/virginia,Not Applicable,1/5/2021,No,,Active,,No,X,AREA OF MINIMAL FLOOD HAZARD,FALSE,Low
Rogers Dam,,,VA049019,,VA049019,,Not Listed,Not Listed,0,No,,,Recreation,Recreation,Virginia,49019,37.4798,-78.2477,Virginia,Cumberland,,0,,"Virginia, Congressional District 05",Yes,Yes,Department of Conservation and Recreation,Yes,Yes,Yes,No,,,,,,,,,No,,Earth,Earth,,,30,,,30,25-50 feet,,,,Undetermined,,46,46,,,0.08,,,,,,,,,,12/4/2022,,,Undetermined,Not Rated,,No,,https://damsafety.org/virginia,Not Applicable,3/8/2021,No,,Active,,No,X,AREA OF MINIMAL FLOOD HAZARD,FALSE,Low
Buckingham Dam,,,VA119009,,VA119009,,Not Listed,Not Listed,0,No,,,Recreation,Recreation,Virginia,119009,37.7117,-76.64,Virginia,Middlesex,,,,"Virginia, Congressional District 01",Yes,Yes,Department of Conservation and Recreation,Yes,Yes,Yes,No,,,,,,,,,No,,Earth,Earth,,,17,,,17,Less than 25 feet,,,,Undetermined,,104,104,,,,,,,,,,,,,12/4/2022,,,Undetermined,Not Rated,,No,,https://damsafety.org/virginia,Not Applicable,3/8/2021,No,,Active,,No,No Data,,FALSE,Unknown
Proximity Dam,107dd024,,VA107117,,VA107117,PROXIMITY COHOUSING,Private,Private,0,No,,,,,Virginia,107117,39.2748,-77.566,Virginia,Loudoun,,,,"Virginia, Congressional District 10",Yes,Yes,Department of Conservation and Recreation,Yes,Yes,Yes,No,,,,,,,,,No,,,,,,30,,,30,25-50 feet,,,,Undetermined,,24.9,24.9,17,1.7,0.05,,,,,,,,,,12/4/2022,,,Undetermined,Not Rated,,No,,https://damsafety.org/virginia,Not Applicable,1/5/2021,No,,Active,,No,No Data,,FALSE,Unknown
Rappahannock Dam #20,157dd067,,VA157021,,VA157021,,Not Listed,Not Listed,0,No,,,,,Virginia,157021,38.6614,-78.0423,Virginia,Rappahannock,,,,"Virginia, Congressional District 10",Yes,Yes,Department of Conservation and Recreation,Yes,Yes,Yes,No,,,,,,,,,No,,,,,,27,,,27,25-50 feet,,,,Undetermined,,52.65,52.65,25.5,2.9,0.05,,,,,,,,,,12/4/2022,,,Undetermined,Not Rated,,No,,https://damsafety.org/virginia,Not Applicable,1/5/2021,No,,Active,,No,X,AREA OF MINIMAL FLOOD HAZARD,FALSE,Low
Ortel Dam,,,VA049023,,VA049023,,Not Listed,Not Listed,0,No,,,Recreation,Recreation,Virginia,49023,37.3684,-78.4079,Virginia,Cumberland,,0,,"Virginia, Congressional District 05",Yes,Yes,Department of Conservation and Recreation,Yes,Yes,Yes,No,,,,,,,,,No,,Earth,Earth,,,20,,,20,Less than 25 feet,,,,Undetermined,,114,114,,,0.06,,,,,,,,,,12/4/2022,,,Undetermined,Not Rated,,No,,https://damsafety.org/virginia,Not Applicable,3/8/2021,No,,Active,,No,X,AREA OF MINIMAL FLOOD HAZARD,FALSE,Low
Bryan Dam,01900dd196,,VA019096,,VA019096,,Not Listed,Not Listed,,No,,,,,Virginia,19096,37.2998,-79.389,Virginia,Bedford,,,,"Virginia, Congressional District 05",Yes,Yes,Department of Conservation and Recreation,Yes,Yes,Yes,No,,,,,,,,,No,,Earth,Earth,,,30,,,30,25-50 feet,,,,Undetermined,,88.32,88.32,51.6,5.38,0.68,,,,,,,,,,12/4/2022,,,Undetermined,Not Rated,,No,,https://damsafety.org/virginia,Not Applicable,1/5/2021,No,,Active,,No,X,AREA OF MINIMAL FLOOD HAZARD,FALSE,Low
Demasters Dam,01900dd193,,VA019094,,VA019094,,Not Listed,Not Listed,,No,,,,,Virginia,19094,37.2968,-79.366,Virginia,Bedford,,,,"Virginia, Congressional District 05",Yes,Yes,Department of Conservation and Recreation,Yes,Yes,Yes,No,,,,,,,,,No,,Earth,Earth,,,27,,,27,25-50 feet,,,,Undetermined,,61.1,61.1,43.2,4.8,0.1,,,,,,,,,,12/4/2022,,,Undetermined,Not Rated,,No,,https://damsafety.org/virginia,Not Applicable,1/5/2021,No,,Active,,No,X,AREA OF MINIMAL FLOOD HAZARD,FALSE,Low
Rappahannock Dam #4,157dd014,,VA157029,,VA157029,,Not Listed,Not Listed,0,No,,,,,Virginia,157029,38.8044,-78.1075,Virginia,Rappahannock,,,,"Virginia, Congressional District 10",Yes,Yes,Department of Conservation and Recreation,Yes,Yes,Yes,No,,,,,,,,,No,,,,,,17,,,17,Less than 25 feet,350,,,Undetermined,,70.04,70.04,58,10,0.06,,,,,,,,,,12/4/2022,,,Undetermined,Not Rated,,No,,https://damsafety.org/virginia,Not Applicable,3/8/2021,No,,Active,,No,X,AREA OF MINIMAL FLOOD HAZARD,FALSE,Low
